provider_name,amount
St Catherine'S Ichuni Mission Hospital,4786479.99
Tembezi Medical Services,1859005.76
Ushirika Dispensary,1576842.1
Taracha Health Centre,1518997.64
Hunter Medical Center,1001810.76
Bomet'S Health Care,590409.18
Riruta Health Centre,538144.53
Amukura Health Centre,511361.36
Tarakwa Dispensary,459352.89
Matasia Nursing Home,379935.06
Mediwell Healthcare,375510.59
Afya Ngambo Medical Clinic,362520.63
Rheno Medicare Clinic,356538.58
Ciagini Health Centre,235095.46
Mbusyani Dispensary-Kangundo,192938.78
Kamwimbi Dispensary,190419.56
Mukima Dispensary,155216.15
Eshimukoko Health Centre,123781.43
Simba Health Centre,119237.06
Kiangoso Health Centre,118915.53
Eshibembe Health Centre,91677.69
Osewre Dispensary,89966.06
Eshinamwenyuli Health Centre,85637.56
Tudor Health Care (Sindo),74252.7
Ruruguti Dispensary,72312.37
E.L.C.K. Matongo Health Centre,71807.55
Alifax Nursing Home Ltd,70931.51
Gakanga Dispensary,64074.63
Shifaa Nursing Home,61690.37
Baricho Subcounty Hospital,57279.01
Kanthuni Dispensary,56796.16
Kibuye Dispensary,48693.65
Ollesos Hills Medical Centre,48037.0
Githuci Dispesary,46874.21
Fairview Medical Centre Kawagware,46177.94
Ruoths Hospital Limited,38875.28
Nzunguni Dispensary,37958.38
Uvete Health Centre,37814.94
Lindi Community Dispensary,36825.79
Lokori Sub-County Hospital,34965.6
Ngaru Dispensary,30428.8
Itare Dispensary,29785.52
Thunguri Dispensary,29747.23
Al-Buqari Nursing Home Limited,28349.81
Northmark Medical Centre And Nursing H O M E L I M I T E D,27224.03
Kiriba Dispensary,27081.76
Kimuri Dispensary,26496.97
Famzahra Maternity Limited,26189.78
Domal Dispensary,25456.29
Optimum Care Hospital Ltd,24358.45
Kalimoni Mission Hospital,23564.22
Setano Dispensary,21404.64
Qarsa Jukala Dispensary,16724.33
Alati Nursing Home,16590.08
Batalu Dispensary,16522.35
Musoli Medical Centre Ltd,15820.66
Healvibe Medical Centre,13605.89
Borderpoint Medical Center Limited,12268.78
Alamagan Medical Centre Limited,11513.9
St.Theresa Dispensary Gitare,9618.1
Esiarambatsi Health Centre,8410.01
Siongi Dispensary,7847.51
Kabungut Dispensary,7097.39
Yaqiin Nursing Home Limited,6228.22
Mida-Majaoni Dispensary,5658.7
Drugmart Medical Clinic,5412.01
Bamastar Medical Clinic,5011.55
St. Monica Town Clinic,4519.88
Magina Health Center,4233.34
Uhuyi Dispensary,3597.12
Masho Dispensary,3110.64
Kachoda Dispensary,2709.34
Gode Medical Centre Limited,2301.37
Hobyo Medical Care Centre Limited,2125.36
Reale Hospital Clinic Kapsabet,1996.97
Mokowe Medical Centre-Faza,1886.14
Urum Dispensary,1730.97
Dayow Hospital Limited,1681.8
Gaceuni Dispensary,1508.11
Eurocity Medical Centre Ltd-Homa Bay,1453.74
Magadi Soda Company Hospital Magadi,38876.45
Shaffi Hospital Limited,25947.85
Bliss Gvs Healthcare Limited Embu,478642.04
Sony Sugar Medical Centre,846458.44
Dom Cottolengo Health Centre-Mukothima,1905.85
Kitengela West Hospital,8225.63
Lopiding Sub County Hospital,113988.15
Parkroad Nursing Home (Nairobi),8257.38
Dawida Annex Hospital,65197.59
St.Teresa Hospital Kiambu,14018.72
