provider_name,amount
1 3RD PARK HOSPITAL LIMITED,131040.0
2 A.I.C GITHUMU MISSION HOSPITAL,6193640.0
3 A.I.C KAPSOWAR MISSION HOSPITAL,1968400.0
4 AAR HOSPITAL LIMITED MUTHAIGA,1259670.0
5 ABAKORE SUB-COUNTY HOSPITAL,134400.0
6 ABRAR HEALTH SERVICES MANDERA LIMITED,11200.0
7 ABUBAKAR SIDIQ NURSING HOME,181440.0
8 ABYAN HOSPITAL LIMITED,6395200.0
9 ACELA MEDICAL CENTRE LIMITED,1354080.0
10 ACK MT KENYA HOSPITAL MWEA,1718080.0
11 ACK PORT FLORENCE COMMUNITY HOSPITAL,125440.0
12 ACORN COMMUNITY HOSPITAL LIMITED,1637440.0
13 ADADI DISPENSARY,30000.0
14 ADADIJOLE DISPENSARY,80000.0
15 ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS LIMITED,159750.0
16 AFLAH MEDICAL CENTRE,371840.0
17 AFNAAN HEALTHCARE SERVICES,56000.0
18 AFRAHA MATERNITY AND NURSING HOME,35840.0
19 AFRICA INUKA HOSPITAL LTD- MILIMANI,6802279.9
20 AFRICA INUKA HOSPITAL LTD- UGUNJA,916160.0
21 AFRICA INUKA HOSPITAL LTD-KISUMU,6993040.0
22 AFRICA INUKA HOSPITAL LTD-MADEYA,3979920.0
23 AFRICA MUSLIM AGENCY HEALTH CENTRE,2128000.0
24 AFRICA MUSLIM AGENCY HEALTH CENTRE THIKA,100000.0
25 AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,74550.0
26 AFYA BORA MEDICAL CLINIC MUTOMO,936320.0
27 AFYA INTERNATIONAL HOSPITAL,499520.0
28 AFYA NURSING HOME MOYALE,2436000.0
29 AFYAPOINT MEDICARE LIMITED -ANNEX,168000.0
30 AFYATELE CENTRE,573440.0
31 AGAKHAN CLINIC (KISII),4480.0
32 AGISO HEALTHCARE,920640.0
33 AHAVA MEDICAL CENTRE,759360.0
34 AHERO JUNCTION MEDICAL CENTRE,100800.0
35 AHERO MEDICAL CENTRE,788480.0
36 AHERO SUB-COUNTY HOSPITAL,33600.0
37 AHLI HOSPITAL LIMITED,58960.0
38 AHMADIYYA MUSLIM HOSPITAL,4114880.0
39 AIC CURE INTERNATIONAL HOSPITAL,2047360.0
40 AIC KIJABE HOSPITAL,59579424.0
41 AIC KIJABE HOSPITAL-NAIVASHA MEDICAL CENTRE,47040.0
42 AIC LITEIN HOSPITAL,8565440.0
43 AIMA HOSPITAL LIMITED,22400.0
44 AKEDEJOE FAMILY THERAPY AND COTTAGE HOSPITAL LIMITED,519680.0
45 AKOLONG DISPENSARY,30000.0
46 AL-AMANNAH HOSPITAL,7957600.0
47 AL-BASRAH HOSPITAL LTD,10947384.0
48 AL-BILAL NURSING HOME,8960.0
49 AL-BUQARI NURSING HOME LIMITED,320320.0
50 AL-BUSHRA MEDICAL CENTRE,158480.0
51 AL-FOWZ NURSING HOME,156800.0
