provider_name,amount
1 A.C.K. MASENO HOSPITAL,1895040.0
2 A.C.K. MASENO HOSPITAL,1051680.0
3 A.I.C GITHUMU MISSION HOSPITAL,305760.0
4 A.I.C GITHUMU MISSION HOSPITAL,201600.0
5 A.I.C KAPSOWAR MISSION HOSPITAL,1466080.0
6 A.I.C KAPSOWAR MISSION HOSPITAL,560560.0
7 A.I.C LOKORI HEALTH CENTRE,2240.0
8 AAR HOSPITAL LIMITED MUTHAIGA,4100250.0
9 AAR HOSPITAL LIMITED MUTHAIGA,1959600.0
10 ABIDHA HEALTH CENTRE,6720.0
11 ABIDHA HEALTH CENTRE,4480.0
12 ABM SPECIALIZED HOSPITAL,181050.0
13 ABM SPECIALIZED HOSPITAL,138450.0
14 ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS LIMITED,2279096.0
15 ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS LIMITED,10650.0
16 AFRICA MISSION SERVICES COMMUNITY CLINIC,2240.0
17 AFRICA MUSLIM AGENCY HEALTH CENTRE,181440.0
18 AFRICA MUSLIM AGENCY HEALTH CENTRE,10080.0
19 AFRICA MUSLIM AGENCY HEALTH CENTRE THIKA,23520.0
20 AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,2108700.0
21 AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,74550.0
22 AHERO SUB-COUNTY HOSPITAL,567680.0
23 AHERO SUB-COUNTY HOSPITAL,16800.0
24 AIC KIJABE HOSPITAL,39549243.0
25 AIC KIJABE HOSPITAL,951837.0
26 AIC LITEIN HOSPITAL,14936630.0
27 AIC LITEIN HOSPITAL,520670.0
28 AIC LODENGO HEALTH CENTRE,82880.0
29 AIC LOKICHOGIO HEALTH CENTRE,4480.0
30 AINAMOI HEALTH CENTRE,51520.0
31 AIRPORT HEALTH CENTRE-KISUMU,26880.0
32 ALALE HEALTH CENTRE,2240.0
33 ALBANI MEDICAL CLINIC,29120.0
34 ALLIANCE MEDICAL CENTRE,2353646.0
35 ALLIANCE MEDICAL CENTRE,117150.0
36 ALLIANCE MEDICAL CENTRE LTD GARISSA,1714650.0
37 ALLIANCE MEDICAL CENTRE MOMBASA,3280110.0
38 ALLIANCE MEDICAL CENTRE MOMBASA,181050.0
39 ALUPE SUB-COUNTY HOSPITAL,436800.0
40 ALUPE SUB-COUNTY HOSPITAL,50400.0
41 AMA (AFRICA MUSLIM AGENCY) CLINIC,30240.0
42 AMBIRA SUB-COUNTY HOSPITAL,356160.0
43 AMBIRA SUB-COUNTY HOSPITAL,17920.0
44 AMUKURA SUB-COUNTY HOSPITAL,39120.0
45 AMUKURA SUB-COUNTY HOSPITAL,8960.0
46 ANGURAI HEALTH CENTRE,13440.0
47 APOSTA HEALTH CENTRE,8960.0
48 ARCHER'S POST CATHOLIC HEALTH CENTRE,40320.0
49 ARCHERS POST SUB-COUNTY HOSPITAL,661920.0
50 ARCHERS POST SUB-COUNTY HOSPITAL,50400.0
51 AROHA CANCER CENTRE LTD,4751830.0
52 AROHA CANCER CENTRE LTD,1000.0
53 ARROR HEALTH CENTRE,1426880.0
54 ARROR HEALTH CENTRE,293440.0
55 ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITAL,416640.0
56 ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITAL,252000.0
57 ASUMBI GIRLS MEDICAL CLINIC,51520.0
58 ATHIBOHOL HEALTH CENTER,6720.0
59 AVENUE HEALTHCARE GREENSPAN MEDICAL CENTRE,1480350.0
60 AVENUE HOSPITAL,12957618.56
61 AVENUE HOSPITAL,401237.14
62 AVENUE HOSPITAL THIKA,12268800.0
63 AVENUE HOSPITAL THIKA,95850.0
64 AVENUE HOSPITAL- KISUMU,4920300.0
65 AVENUE HOSPITAL- KISUMU,1054350.0
66 AWENDO SUB-COUNTY HOSPITAL,218320.0
67 AWENDO SUB-COUNTY HOSPITAL,6720.0
68 BAHAI HEALTH CENTRE,8960.0
69 BAHATI SUB-COUNTY HOSPITAL,198240.0
70 BAHATI SUB-COUNTY HOSPITAL,30240.0
71 BALAMBALA SUB-COUNTY HOSPITAL,130800.0
72 BALDO IPPOLITA CATHOLIC HEALTH CENTRE,165760.0
73 BALDO IPPOLITA CATHOLIC HEALTH CENTRE,26880.0
74 BAMBA SUB-COUNTY HOSPITAL,4480.0
75 BAMBA SUB-COUNTY HOSPITAL,4480.0
76 BANISA SUB COUNTY HOSPITAL,94080.0
77 BARAGOI SUB-COUNTY HOSPITAL,73920.0
78 BARINGO COUNTY REFERRAL HOSPITAL,7334850.0
79 BARINGO COUNTY REFERRAL HOSPITAL,587750.0
81 BARTABWA HEALTH CENTRE,4480.0
80 BARTABWA HEALTH CENTRE,2240.0
82 BAYAAN NURSING HOME,1980900.0
83 BAYAAN NURSING HOME,415350.0
84 BAYLEAF HEALTH CENTRE,10650.0
85 BETTER LIVING HOSPITAL,22400.0
86 BETTER LIVING HOSPITAL,4480.0
87 BISHOP U. J. KIOKO CATHOLIC HOSPITAL,7454070.0
88 BISHOP U. J. KIOKO CATHOLIC HOSPITAL,155250.0
89 BISSIL HEALTH CENTRE,96320.0
90 BLOOM DHAHABU LIMITED,27354942.0
91 BLOOM DHAHABU LIMITED,2196160.0
92 BLOOM HEALTHCARE MACHAKOS,14013250.0
93 BLOOM HEALTHCARE MACHAKOS,3208150.0
94 BLOOM HOSPITAL NAKURU LIMITED,1895700.0
95 BLOOM HOSPITAL NAKURU LIMITED,351450.0
96 BLUE RIDGE MEDICAL LTD,1373850.0
97 BLUE RIDGE MEDICAL LTD,362100.0
98 BLUE RIDGE MEDICAL - THIKA,1986350.0
99 BLUE RIDGE MEDICAL - THIKA,494050.0
100 BLUE RIDGE MEDICAL LTD -KISUMU,1014500.0
101 BOKOLI SUB COUNTY HOSPITAL,1155840.0
102 BOKOLI SUB COUNTY HOSPITAL,339280.0
103 BONDO SUB-COUNTY REFERRAL HOSPITAL,678720.0
104 BONDO SUB-COUNTY REFERRAL HOSPITAL,131040.0
105 BOSONGO MEDICAL CENTRE,20376414.0
106 BOSONGO MEDICAL CENTRE,2181050.0
107 BRISTOL PARK HOSPITAL FEDHA,1491000.0
108 BRISTOL PARK HOSPITAL FEDHA,63900.0
109 BRISTOL PARK HOSPITAL MACHAKOS,3099150.0
110 BRISTOL PARK HOSPITAL MACHAKOS,809397.0
111 BROTHER ANDRE HOSPITAL LTD,208320.0
112 BROTHER ANDRE HOSPITAL LTD,57120.0
113 BUGUMBE HEALTH CENTRE,26880.0
114 BUKAYA HEALTH CENTRE,6720.0
116 BUKEMBE HEALTH CENTRE,17920.0
115 BUKEMBE HEALTH CENTRE,6720.0
117 BUKURA RURAL HEALTH DEMONSTRATION CENTRE,73920.0
118 BUKURA RURAL HEALTH DEMONSTRATION CENTRE,11200.0
119 BULONDO HEALTH CENTRE,606880.0
120 BULONDO HEALTH CENTRE,20160.0
121 BULSHAWI NURSING HOME LIMITED,103040.0
122 BUMALA A HEALTH CENTRE,73920.0
123 BUMALA B HEALTH CENTRE,22400.0
124 BUMULA SUB-COUNTY HOSPITAL,655040.0
125 BUMULA SUB-COUNTY HOSPITAL,184720.0
126 BUNGOMA COUNTY REFERRAL HOSPITAL,8169480.0
127 BUNGOMA COUNTY REFERRAL HOSPITAL,434230.0
128 BUNGOMA WEST HOSPITAL,10235183.0
129 BUNGOMA WEST HOSPITAL,1368692.0
130 BURA SUB-COUNTY HOSPITAL,97440.0
131 BURA SUB-COUNTY HOSPITAL,20160.0
132 BURA SUB-COUNTY HOSPITAL,10080.0
133 BURA TANA NURSING HOME ANNEX,880320.0
134 BURBURIS MEDICAL CENTRE,22400.0
135 BURNT FOREST SUB-COUNTY HOSPITAL,137760.0
136 BURNT FOREST SUB-COUNTY HOSPITAL,23520.0
137 BUSIA COUNTY REFERRAL HOSPITAL,1558590.0
138 BUSIA COUNTY REFERRAL HOSPITAL,361860.0
139 BUSIA DISTRICT HOSPITAL,55470.0
141 BUTE SUB COUNTY HOSPITAL,252000.0
140 BUTE SUB COUNTY HOSPITAL,164640.0
142 BUTERE COUNTY HOSPITAL,786240.0
143 BUTERE COUNTY HOSPITAL,184800.0
144 BUTULA MISSION HEALTH CENTRE,230720.0
145 BUTULA MISSION HEALTH CENTRE,51520.0
146 CANA FAMILY CLINIC AND RESOURCE CENTRE,383040.0
147 CANA FAMILY CLINIC AND RESOURCE CENTRE,73920.0
148 CANA HOSPITAL,53250.0
149 CANCER CARE KENYA LIMITED,40674942.0
150 CANCER CARE KENYA LIMITED,16500800.0
151 CANCER CARE KENYA LIMITED-UAP OLD MUTUAL TOWER,36003838.0
152 CANCER CARE KENYA LIMITED-UAP OLD MUTUAL TOWER,15582082.0
153 CANCER CENTER OF EXCELLENCY,9186594.0
154 CANCER CENTER OF EXCELLENCY,1356775.0
155 CARE HOSPITAL LTD,2545350.0
156 CARE HOSPITAL LTD,639000.0
157 CEDAR HOSPITAL,9435898.0
158 CEDAR HOSPITAL,1459050.0
159 CENTRAL DIALYSIS AND DIAGNOSTIC CENTRE LIMITED,266250.0
160 CENTRAL MEMORIAL HOSPITAL LTD,3823350.0
161 CENTRAL MEMORIAL HOSPITAL LTD,734850.0
162 CGTRH MTONGWE OUTREACH,387520.0
163 CGTRH MTONGWE OUTREACH,20160.0
164 CHARITY MEDICAL HOSPITAL,2343000.0
165 CHARITY MEDICAL HOSPITAL,1459050.0
166 CHEBIEMIT SUB COUNTY HOSPITAL,171360.0
167 CHEBIEMIT SUB COUNTY HOSPITAL,50400.0
168 CHEBUKUTUMI HEALTH CENTRE,147840.0
