provider_name,amount
1 KENYATTA NATIONAL HOSPITAL,341491903.0
2 MOI TEACHING AND REFERRAL HOSPITAL,190679328.03
3 KENYATTA UNIVERSITY TEACHING REFERRAL AND RESEARCH HOSPITAL,107856136.0
4 AIC KIJABE HOSPITAL,95063964.0
5 TENWEK HOSPITAL,94286398.34
6 JARAMOGI OGINGA ODINGA TEACHING AND REFERRAL HOSPITAL,90541165.0
7 P.C.E.A KIKUYU HOSPITAL,82208619.0
8 MATHARI NATIONAL TEACHING AND REFERRAL HOSPITAL,72881680.0
9 RIFT VALLEY PROVINCIAL GENERAL HOSPITAL NAKURU,67990935.0
10 TOP HILL BRAIN AND SPINE HOSPITAL,56998551.0
11 KANDIEGE SUB-COUNTY HOSPITAL,54370000.0
12 LIFECARE HOSPITAL-ELDORET LIMITED,53224968.93
13 COAST GENERAL TEACHING AND REFERRAL HOSPITAL,50122653.0
14 NAIROBI WEST HOSPITAL,49823341.73
15 TEXAS CANCER CENTRE NAIROBI WEST,42543813.0
16 ST. THERESA MISSION HOSPITAL KIIRUA,41531799.0
17 KAKAMEGA COUNTY GENERAL HOSPITAL,40969624.0
18 GRACE PARK MEDICAL CENTRE,36503715.6
19 POPE BENEDICT XVI HOSPITAL,36316650.0
20 MEDILIFE HOSPITAL LIMITED,36088960.0
21 CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOSPITAL LIMITED,34998870.0
22 NORTH KINANGOP CATHOLIC HOSPITAL,34672130.0
23 MERU DOCTORS PLAZA LIMITED,33723409.0
24 LIVING ROOM INTERNATIONAL,30140650.0
25 JUMUIA HOSPITAL HURUMA,29122938.0
26 LADNAN HOSPITAL,28397113.0
27 OUR LADY OF MERCY MISSION HOSPITAL,28310360.0
28 A.I.C KAPSOWAR MISSION HOSPITAL,28257900.0
29 MEDISTAR HOSPITAL KERICHO LIMITED,27545398.0
30 OUTSPAN HOSPITAL,26746764.75
31 EMBU COUNTY REFERRAL HOSPITAL,26437982.0
32 COPTIC HOSPITAL - NGONG ROAD,25888997.0
33 THE MATER HOSPITAL,25101274.0
34 THE AGA KHAN UNIVERSITY HOSPITAL NAIROBI,24958293.27
35 REALE HOSPITAL ELDORET,24863400.0
36 ST LUKES ORTHOPAEDIC AND TRAUMA HOSPITAL UASIN GISHU,24807009.0
37 MIGORI COUNTY REFERRAL HOSPITAL,24275110.0
38 KISII TEACHING AND REFERRAL HOSPITAL,24261490.0
39 MERU TEACHING AND REFERRAL HOSPITAL,23557294.0
40 PCEA CHOGORIA HOSPITAL,23526755.0
41 NYERI COUNTY REFERRAL HOSPITAL,23065970.0
42 CONSOLATA HOSPITAL MATHARI,22469744.37
43 CROWN SPECIALIST CENTRE,22266346.0
44 NEEMA UNIVERSAL HEALTH CARE LIMITED-EMBU TOWN,22245438.0
45 METROPOLITAN HOSPITAL,21660868.0
46 KENYATTA NATIONAL HOSPITAL AMENITY WING,21472067.0
47 ST. ELIZABETH MISSION HOSPITAL MUKUMU,21420948.0
48 KITUI COUNTY REFERRAL HOSPITAL,20589032.5
"49 RACECOURSE HOSPITAL 20,565,310.0050 KERUGOYA COUNTY REFERRAL HOSPITAL",20077250.0
51 OUR LADY OF LOURDES MWEA HOSPITAL,19982860.0
52 PCEA TUMUTUMU MISSION HOSPITAL,19085484.0
53 ABM SPECIALIZED HOSPITAL,18982620.0
54 NYAMIRA COUNTY REFERAL HOSPITAL,18617280.0
55 ST. ANNE MISSION HOSPITAL,18024770.0
56 THIKA COUNTY REFERRAL HOSPITAL,17904220.0
57 BUNGOMA COUNTY REFERRAL HOSPITAL,17846940.0
58 THE THIKA SAM'S HOSPITAL(ANNEX) LTD,17713120.0
59 FRIENDS CHURCH SABATIA EYE HOSPITAL,17527660.0
60 MACHAKOS COUNTY REFERRAL HOSPITAL,17478861.0
61 KISUMU COUNTY REFERRAL HOSPITAL,17465600.0
62 CHELYMO MEDICAL CENTRE,17345440.0
63 WEBUYE SUB-COUNTY HOSPITAL,17102160.0
64 JUMUIA FRIENDS HOSPITAL KAIMOSI,16845580.0
65 HOMABAY COUNTY REFERRAL HOSPITAL,16839810.0
66 ASTER HEALTHCARE LIMITED,16542157.0
67 THE AGA KHAN HOSPITAL MOMBASA,16473931.0
68 NYANGENA HOSPITAL LTD,16278400.0
69 RANGWE SUB-COUNTY HOSPITAL,16119200.0
70 KAPLONG MISSION HOSPITAL,16112460.0
71 CHRISTAMARIANNE MISSION HOSPITAL (ASUMBI),15799440.0
72 LIONS SIGHTFIRST EYES HOSPITAL,15792240.0
73 KENOL HOSPITAL LTD,15787840.0
74 THE NAKURU SPECIALIST HOSPITAL LTD(CANCER &amp; INFECTIOUS DESEA S E ),15595440.0
75 THE NAIROBI HOSPITAL,15557943.0
76 PREMIER HOSPITAL,15257463.93
77 MURANG'A COUNTY REFERRAL HOSPITAL,15094161.0
78 SILOAM HOSPITAL LIMITED,15078126.99
79 MT. KENYA ACK HOSPITAL,15025120.0
80 LIFECARE HOSPITAL LIMITED-MERU,14996358.0
81 KENYATTA NATIONAL HOSPITAL - OTHAYA,14800750.0
82 BOGOTA-BAG IMAGING AND NURSING HOME,14561520.0
83 MOMBASA BREEZE HOSPITAL(MBH) LIMITED,14413220.0
84 GUARDIAN HOSPITAL LIMITED,14390330.0
85 LIFECARE HOSPITALS BUNGOMA LTD,14350460.0
86 IMARA HOSPITAL EMBU,14301920.0
87 QASIMS HOSPITAL LIMITED,14265240.0
88 OASIS SPECIALIST HOSPITAL,14176920.0
89 KERICHO COUNTY REFFERAL HOSPITAL,14114449.0
90 LIFECARE HOSPITAL LIMITED-KIKUYU,13660733.25
91 AIC LITEIN HOSPITAL,13338789.0
92 KERUGOYA MEDICAL CENTRE,13299345.0
93 NAZARETH HOSPITAL,13116740.0
94 PALMCARE SINAI HOSPITAL,13111360.0
95 FOUNTAIN HEALTHCARE LIMITED,12842800.0
96 MP SHAH HOSPITAL,12792984.0
97 MT. LONGONOT MEDICAL SERVICES,12648320.0
98 MARY IMMACULATE HOSPITAL MWEIGA,12535075.0
"99 ITEN COUNTY REFERRAL HOSPITAL 12,511,310.00100 KOMAROCK MODERN HEALTHCARE UTAWALA",12415490.0
101 SUBA SUB-COUNTY HOSPITAL,12246880.0
102 ST. ANTHONY CATHOLIC HOSPITAL,12180920.0
103 MAKUENI COUNTY REFERRAL HOSPITAL,12135003.0
104 NYAHURURU COUNTY REFERRAL HOSPITAL,12082919.0
105 ROBINS HEALTHCARE LIMITED,11957410.0
106 NANYUKI COUNTY REFERRAL HOSPITAL,11903200.0
107 SIAYA COUNTY REFERRAL HOSPITAL,11832120.0
108 MANDERA WELLNESS CENTRE ANNEX CO. LIMITED,11364640.0
109 BETHESDA HEALTH CARE SERVICES COMPANY LIMITED,11165130.69
110 MAXICARE SUNRISE LIMITED HOSPITAL,11140960.0
111 SANTAMORE SPECIALIZED SURGICAL HOSPITAL LIMITED,10967378.0
112 WESTLIFE HOSPITAL LIMITED,10962560.0
113 BWARE COMPLEX HEALTHCARE LIMITED,10768560.0
114 JAMII HOSPITAL KARATINA,10691200.0
115 GOODWILL COTTAGE HOSPITAL,10681680.0
116 BAYLEAF HEALTH CENTRE,10646170.0
117 LIFECARE HOSPITAL MIGORI,10555540.0
118 SOUTHRIFT HOSPITAL LIMITED,10445182.0
119 MOMBASA CANCER CENTRE,10398503.0
120 EYE AND U OPTHALMIC LTD,10364400.0
121 GRAND ROYALCARE MEDICAL LIMITED,10295360.0
122 LONDON MEDICAL &amp; DIALYSIS CENTRE LIMITED,10208348.0
123 KAKAMEGA ORTHOPAEDIC HOSPITAL,10116200.0
124 BLUELIGHT HOSPITAL AND DIAGNOSTIC CENTRE LIMITED,10033720.0
125 ST. FRANCIS COMMUNITY HOSPITAL,9971378.0
126 NAIVASHA SUB-COUNTY HOSPITAL,9911880.0
127 BLUE WHALE MEDICAL LTD,9911760.0
128 CITY EYE HOSPITAL,9905480.0
129 MSAMBWENI COUNTY REFERRAL HOSPITAL,9823860.0
130 MBAGATHI COUNTY REFERRAL HOSPITAL,9724380.0
131 THE WEBUYE HOSPITAL LIMITED,9677120.0
132 ST. THOMAS MATERNITY HOSPITAL,9637200.0
133 MASABA SUB-COUNTY HOSPITAL,9555320.0
134 ST. JOSEPHS MISSION HOSPITAL MIGORI,9528140.0
135 THE LIFELINE GROUP OF HOSPITALS LIMITED KAHAWA WENDANI,9485520.0
136 MERU JORDAN HOSPITAL LTD,9468964.0
137 LUMINO NURSING AND MATERNITY HOME,9416880.0
138 ROYAL MEDICAL HOSPITAL AND MATERNITY HOME LIMITED,9307360.0
139 ELDORET HOSPITAL,9296910.0
140 MWINGI MEDICARE CENTRE-LTD,9259540.0
141 SHAMAAL HOSPITAL-BANISA LIMITED,9088400.0
142 THE AGA KHAN HOSPITAL - KISUMU,9032489.0
143 ST CATHERINE'S ICHUNI MISSION HOSPITAL,8975940.0
144 HEALTH WAVE MEDICAL SERVICES LIMITED-HOSPITAL,8959670.0
145 CU-MEYR MEDICAL CENTER LIMITED,8910720.0
146 AIC CURE INTERNATIONAL HOSPITAL,8881020.0
147 TRANS MARIGOLD HOSPITAL,8782640.0
148 THE SOUTHGATE HOSPITAL,8748460.0
"149 KITENGELA MEDICAL SERVICES 8,711,280.00150 BISHOP U. J. KIOKO CATHOLIC HOSPITAL",8669850.0
151 EAGLEVIEW MEDICAL SERVICES LIMITED,8637520.0
152 TOM MBOYA MEMORIAL LEVEL 4 HOSPITAL,8621600.0
153 BRIMAXA HOSPITAL LIMITED,8544360.0
154 JOCHAM HOSPITAL LTD,8532247.39
155 FILYNE CHIMA HOSPITAL LIMITED,8477280.0
156 KENDU ADVENTIST HOSPITAL,8442570.0
157 MAUA METHODIST HOSPITAL,8419530.0
158 NEPHRO MED LIMITED,8382093.0
159 MWINGI SUB-COUNTY HOSPITAL,8337120.0
160 GARISSA COUNTY REFERRAL HOSPITAL,8325190.0
161 REALE HOSPITAL UTAWALA LIMITED,8267474.0
162 BALANCE LIFE HOSPITAL LIMITED,8252160.0
163 PORT-REITZ SUB COUNTY HOSPITAL,8191840.0
164 BUNGOMA WEST HOSPITAL,8186987.0
165 NORTHGATE HOSPITAL LIMITED,8128560.0
166 NORTHERN SPECIALISTS HOSPITAL LIMITED,8109120.0
167 ALFAROOQ HOSPITAL LTD,8074639.0
168 AYALE MEDICARE AND NURSING HOME,8057640.0
169 NAMO HOSPITAL LIMITED,7990505.0
170 MARAGUA SUB-COUNTY HOSPITAL,7988059.0
171 A.I.C GITHUMU MISSION HOSPITAL,7986580.0
172 TOWNSHIP COTTAGE HOSPITAL LIMITED,7956400.0
173 ST. LAWRENCE HOMA BAY HOSPITAL,7944080.0
174 PLAZA SPECIALIST HOSPITAL LIMITED,7941948.0
175 VOLUNTEER NURSING HOME LIMITED,7835520.0
176 NYANCHWA ADVENTIST MISSION HOSPITAL,7792720.0
177 THE BALOZI HOSPITAL LIMITED,7739770.0
178 COTTOLENGO MISSION HOSPITAL,7594200.0
179 ST. TERESA HOSPITAL KIAMBU,7584638.0
180 THE KITUI HOSPITAL MATERNITY &amp; NURSING HOME,7520920.0
181 THE CHERANGANY HOSPITAL LIMITED,7466450.0
182 DIANI BEACH HOSPITAL,7465350.0
183 MOTHER ANGELA HURUMA HOSPITAL,7442161.0
184 ST. LEONARDS HOSPITAL,7414010.0
185 RAPHA DIALYSIS AND DIAGNOSTIC CENTRE,7380450.0
186 NYAMBENE SUB-COUNTY HOSPITAL,7370620.0
187 DR AGARWALS EYE HOSPITAL,7322160.0
188 MODERN ABERDARE VIEW HOSPITAL LIMITED,7306480.0
189 ALPHA HILL MEDICAL CENTER LIMITED,7259959.0
190 KAPKATET SUB-COUNTY HOSPITAL,7257070.0
191 ST. MATIA MULUMBA HOSPITAL,7250400.0
192 RAPHA HOSPITAL &amp; CLINICS,7237030.0
193 THE KAREN HOSPITAL LIMITED,7226680.0
194 TABAKA MISSION HOSPITAL,7225700.0
195 SYNERGY CLINICS LIMITED,7206266.0
196 AL-BASRAH HOSPITAL LTD,7146880.0
197 MAKINDU SUB-COUNTY HOSPITAL,7138458.0
198 ST. BRIGITTAS CATHOLIC HOSPITAL,7123320.0
"199 CANCER CARE KENYA LIMITED-UAP OLD MUTUAL TOWER 7,116,872.00200 USHIRIKA ELITE HOSPITAL LIMITED",7100800.0
201 CHIROMO MENTAL HEALTH HOSPITAL -NAIROBI LIMITED,7063840.0
202 ITANDO MISSION OF HOPE AND HEALTHCARE,7053560.0
203 KAGIO HOSPITAL LIMITED,6990850.0
204 CHUKA COUNTY REFERRAL HOSPITAL,6954480.0
205 KERUGOYA FORTIS MEDICAL AND CANCER CENTRE,6938680.0
206 AL AHLI NURSING HOME - RHAMU,6917120.0
207 SILVERCARE MEDICAL CLINIC LIMITED,6904380.0
208 TSAVO COMPREHENSIVE MEDICAL ANNEX,6890528.0
209 OLIVEHILL SURGICAL CENTRE,6885200.0
210 ELDAMA RAVINE NURSING HOME,6862160.0
211 ST. ORSOLA MISSION HOSPITAL,6858560.0
212 AVENUE HOSPITAL- KISUMU,6855627.0
213 OBANGA HEALTH CENTRE,6812720.0
214 TAWFIQ HOSPITAL,6743620.0
215 NDHIWA SUB-COUNTY HOSPITAL,6738160.0
216 BWANA NI MWEMA MEDICAL CENTRE,6717079.0
