provider_name,amount
3RD PARK HOSPITAL LIMITED,20160.0
A.C.K NAMASOLI HEALTH CENTRE,247120.0
A.C.K. MASENO HOSPITAL,2912000.0
A.I.C GITHUMU MISSION HOSPITAL,3246360.0
A.I.C KAPSOWAR MISSION HOSPITAL,14840640.0
AAR HOSPITAL LIMITED MUTHAIGA,7650340.0
Aasif medical and Health service limited,2432320.0
ABAKAILE DISPENSARY,20000.0
ABAKORE NURSING HOME LIMITED,2864960.0
ABALA HEALTHCARE LIMITED,3456320.0
ABM SPECIALIZED HOSPITAL,1028110.0
ABOLOI DISPENSARY,20000.0
ABQA ANNEX MEDICAL CENTRE LTD,618240.0
ABRAR HEALTH SERVICES BANISSA,519680.0
ABRAR HEALTH SERVICES LIMITED,598080.0
ABRAR HEALTH SERVICES MANDERA LIMITED,889120.0
ABUBAKAR SIDIQ NURSING HOME,778320.0
ABULO MEDICAL CENTER,1182720.0
ABUU AMIRA NURSING HOME,1845760.0
ABYAN HOSPITAL LIMITED,2951120.0
ACE NORTHERN HOSPITAL LTD,10000.0
Acela Medical Centre,708880.0
ACELA MEDICAL CENTRE LIMITED,1315840.0
ACK DR. PIKE ROPER MEDICAL CENTRE,119440.0
ACK KHASOKO HEALTH CENTRE,30000.0
ACK MT KENYA HOSPITAL MWEA,647360.0
ACK NAMBOBOTO HEALTH CENTRE,81200.0
ACK PORT FLORENCE COMMUNITY HOSPITAL,147840.0
ACK ST.LUKES MISSION NURSING HOME,20000.0
ADC MARKET NURSING HOME LIMITED,2226560.0
ADEMASAJIDA DISPENSARY,50000.0
ADIEDO DISPENSARY,30000.0
ADU DISPENSARY,430000.0
Adungosi Medical Clinic,88400.0
Advanced Cancer Centre,4925262.0
ADVANCED CANCER CENTRE LIMITED,6286554.0
ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS L I M I T E D,734850.0
AFARSHANLE DISPENSARY,80000.0
AFEY HILLOW NURSING HOME LIMITED,3029040.0
AFLAH MEDICAL CENTRE,725760.0
AFNAAN HEALTHCARE SERVICES,504000.0
AFRAHA MATERNITY & NURSING HOME,86000.0
AFRAHA MATERNITY AND NURSING HOME,135440.0
AFRICA INUKA HOSPITAL LTD- MILIMANI,7700360.0
AFRICA INUKA HOSPITAL LTD- UGUNJA,194880.0
AFRICA INUKA HOSPITAL LTD-MADEYA,4001520.0
AFRICA INUKA HOSPITAL LTD-MILIMANI,1279120.0
AFRICA MISSION SERVICES COMMUNITY CLINIC,70000.0
AFRICA MUSLIMS AGENCY HEALTH CENTRE THIKA,2948720.0
AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,915900.0
AFYA BORA CLINIC MUTOMO,26880.0
AFYA BORA MEDICAL CLINIC MUTOMO,94080.0
AFYA HEALTH SYSTEMS ORGANIZATION,2477440.0
AFYA HILL MEDICAL CENTRE,4428160.0
AFYA INTERNATIONAL HOSPITAL,286160.0
Afya Link Medical Center,649600.0
AFYA MEDICAL CLINIC AND NURSING HOME,4027520.0
AFYA NGAMBO MEDICAL CLINIC,10000.0
AFYA NURSING HOME MOYALE,684800.0
AFYALINE SALGAA MEDICAL CENTRE,1317520.0
AFYALINK MEDICAL CENTRE,2307200.0
AFYAPOINT MEDICARE LIMITED ANNEX,67200.0
AFYAPOINT MEDICARE LIMITED -ANNEX,33600.0
Afyastar Medical Clinic,10000.0
AGA KHAN HOSPITAL KISUMU-NYAMIRA MEDICAL CEN T R E,224000.0
Agakhan Clinic (Kisii),112000.0
AGISO HEALTHCARE,306880.0
AHAVA MEDICAL CENTRE,1012160.0
AHERO MEDICAL CENTER,907040.0
Ahero Medical Centre,268640.0
AHERO SUB-COUNTY HOSPITAL,6393680.0
AHLI HOSPITAL LIMITED,33440.0
Ahmadiya Hospital,362560.0
AHMADIYYA MUSLIM HOSPITAL,817040.0
AIC CURE INTERNATIONAL HOSPITAL,2723840.0
AIC KIJABE HOSPITAL,75464180.0
AIC KIJABE HOSPITAL-NAIVASHA MEDICAL CENTRE,3068640.0
AIC LITEIN HOSPITAL,11312898.0
AIC LODENGO HEALTH CENTRE,577600.0
AIC LOKICHOGIO HEALTH CENTRE,212880.0
AIMO HEALTH CENTRE,145600.0
AINAMOI HEALTH CENTRE,123440.0
Airport Health Centre,300000.0
AIRPORT HEALTH CENTRE-KISUMU,905520.0
AKALA HEALTH CENTRE,300000.0
