provider_name,amount
MINDIRA HOSPITAL ISIBANIA,50000.0
NAIVASHA QUALITY HEALTHCARE SERVICES LTD,60000.0
NEW JUNCTION HEALTH CENTRE,10000.0
OMBO KACHIENG\\' DISPENSARY,260000.0
A.I.C GITHUMU MISSION HOSPITAL,290000.0
AAR HOSPITAL LIMITED MUTHAIGA,2531700.0
ABDIWAQO DISPENSARY,90000.0
ABIKASHIRO MEDICAL CENTRE LTD,80000.0
ABM SPECIALIZED HOSPITAL,42600.0
ABRAAR HOSPITAL LIMITED,30000.0
ABULO MEDICAL CENTER,10000.0
ACELA MEDICAL CENTRE LIMITED,40000.0
ACK DR. PIKE ROPER MEDICAL CENTRE,90000.0
ACK KHASOKO HEALTH CENTRE,70000.0
ACK SOYSAMBU DISPENSARY,60000.0
ACK ST.LUKES MISSION NURSING HOME,50000.0
ACORN COMMUNITY HOSPITAL LIMITED,30000.0
ADADIJOLE DISPENSARY,10000.0
ADEMASAJIDA DISPENSARY,50000.0
ADU DISPENSARY,670000.0
ADVANCED CANCER CENTRE LIMITED,15161792.0
ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS L I M I,138450.0
AFARSHANLE DISPENSARY,50000.0
AFRAHA MATERNITY AND NURSING HOME,30000.0
AFRICA INLAND CHURCH LALANG AMALO HEALTH CE N T,20000.0
AFRICA INUKA HOSPITAL LTD- MILIMANI,820000.0
AFRICA INUKA HOSPITAL LTD- UGUNJA,20000.0
AFRICA INUKA HOSPITAL LTD-MADEYA,70000.0
AFRICA MUSLIM AGENCY HEALTH CENTRE,30000.0
AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,223650.0
AFYA BORA MEDICAL CLINIC MUTOMO,10000.0
AFYA INTERNATIONAL HOSPITAL,60000.0
AFYA NGAMBO MEDICAL CLINIC,20000.0
AFYA NURSING HOME MOYALE,70000.0
AFYALINE SALGAA MEDICAL CENTRE,70000.0
AFYATELE CENTRE,240000.0
AHAVA MEDICAL CENTRE,150000.0
AHERO JUNCTION MEDICAL CENTRE,10000.0
AHERO MEDICAL CENTRE,20000.0
AHERO SUB-COUNTY HOSPITAL,1690000.0
AHMADIYYA MUSLIM HOSPITAL,836720.0
AIC KAJIADO HEALTH CENTRE,20000.0
AIC KIJABE HOSPITAL,1431450.0
AIC KIJABE HOSPITAL-NAIVASHA MEDICAL CENTRE,1670000.0
AIC LITEIN HOSPITAL,2173400.0
AIC LODENGO HEALTH CENTRE,40000.0
AIC LOKICHOGIO HEALTH CENTRE,290000.0
AINAMOI HEALTH CENTRE,620000.0
AIRPORT HEALTH CENTRE-KISUMU,490000.0
AKALA HEALTH CENTRE,710000.0
AL-BASRAH HOSPITAL LTD,380000.0
AL-BILAL NURSING HOME,70000.0
ALEN WALES LOLGORIAN MEDICAL CLINIC,40000.0
ALFAROOQ HOSPITAL LTD,80000.0
ALFOMBIU MEDICAL CLINIC,10000.0
ALIMAOW HEALTH CENTRE,430000.0
ALIMAOW NURSING HOME,10000.0
AL-ISHRAQ NURSING HOME LIMITED,10000.0
ALLIANCE MEDICAL CENTRE,149099.0
ALLIANCE MEDICAL CENTRE LTD GARISSA,820050.0
ALLIANCE MEDICAL CENTRE MOMBASA,138450.0
ALLUC MEDICAL CENTRE,30000.0
ALMAS MEDICAL SERVICES,160000.0
AL-MUHARAM NURSING HOME LTD,30000.0
AL-NAS NURSING HOME,10000.0
ALPHA HILL MEDICAL CENTER LIMITED,10000.0
ALPHA MEDICAL CENTRE- KAEWA,5000.0
ALPHIL MATERNITY AND NURSING HOME,109000.0
ALPHIL MEDICAL CENTRE LIMITED - NAKURU,320000.0
ALPHIL MEDICAL CENTRE LIMITED- KABURWO,110000.0
ALPO MEDICAL CENTRE,110000.0
AL-SIHA NURSING HOME,10000.0
ALUM BEACH DISPENSARY,160000.0
ALUNGU HEALTH CENTRE,100000.0
AMANE COTTAGE HOSPITAL,10000.0
AMBIRA SUB-COUNTY HOSPITAL,1610000.0
AMBOSELI DISPENSARY,90000.0
AMI RUHAMA CHURCH WARABA MEDICAL CENTRE,340000.0
AMINA COMMUNITY HOSPITAL CENTRE LIMITED,30000.0
AMOYO DISPENSARY,150000.0
AMUKURA SUB-COUNTY HOSPITAL,430000.0
AMUMA DISPENSARY,120000.0
