provider_name,amount
ACK DR. PIKE ROPER MEDICAL CENTRE,70000.0
AIC KAJIADO HEALTH CENTRE,10000.0
ALMAS MEDICAL SERVICES,30000.0
AMUMA DISPENSARY,10000.0
ASHBURN COMMUNITY NURSING HOME,20000.0
AUSMUDULE DISPENSARY,20000.0
BABADOGO HEALTH CENTRE,10000.0
BANDE DISPENSARY,20000.0
BAR ACHUTH DISPENSARY,20000.0
BELLEVUE HEALTH CENTRE,10000.0
BOKIMAI DISPENSARY,30000.0
BUHURU PONYA MEDICAL CENTRE,30000.0
BUKOKHOLO DISPENSARY,10000.0
BUNGOMA COUNTY REFERRAL HOSPITAL,10000.0
BURJOHN DISPENSARY,70000.0
BUTINGO DISPENSARY,10000.0
CANCER CARE INTERNATIONAL,1236700.0
CARITAS MARIANA MAG. WALTRAUD SCHULTZ MEMORIAL DISPENSARY,10000.0
CHALANI DISPENSARY,10000.0
CHEGULO DISPENSARY,10000.0
CHEMWOROR HEALTH CENTRE,10000.0
CHEPTALAL SUB-COUNTY HOSPITAL,40000.0
COWDRAY DISPENSARY,10000.0
DAGAMRA DISPENSARY,50000.0
DAGORETTI SUB-COUNTY HOSPITAL MUTUINI,10000.0
DANDELION MEDICAL CENTRE-KILIMANJARO,20000.0
DARWED DISPENSARY,50000.0
DAWDER DISPENSARY,320000.0
DOPHIL NURSING &amp; MATERNITY HOME NOMIYA FAITH BASED,40000.0
DORAN LIFE CARE CENTRE,9950.0
DWELE HEALTH CENTRE,60000.0
EAGLE HEALTH AND CLINIC SERVICES,760000.0
EAGLE HEALTH AND CLINIC SERVICES RIRUTA BRANCH,540000.0
EKALAKALA HEALTH CENTRE,40000.0
EKICHELES DISPENSARY,30000.0
EKITALE DISPENSARY,20000.0
ELIMAT GROUP NURSING HOME(BUKHAKUNGA) LIMITED,10000.0
EMBU COUNTY REFERRAL HOSPITAL,10000.0
EMINING HEALTH CENTRE,10000.0
EMURUTOTO HEALTH CENTRE,70000.0
ENTANDA LEVEL 3 HOSPITAL,30000.0
ERAMBA HEALTH CENTRE,10000.0
ESIKULU DISPENSARY,10000.0
FAIRVIEW MEDICAL CENTRE,110000.0
GANDA DISPENSARY,10000.0
GANYURE DISPENSARY,30000.0
