reg_no,facility_name,facility_type,facility_agent,level,county
2806,TIONYBEI MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
2900,RAVINE GLORY HEALTHCARE SERVICES,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
3106,ELDAMA RAVINE NURSING HOME,HOSPITAL LEVEL 4,Private,LEVEL 4,BARINGO
3204,BARNET MEMORIAL MEDICAL CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
3424,KAREN ROSES MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
3602,SHAMONE UZIMA CLINIC AND PHARMACY,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
3757,KERIO HOSPITAL LIMITED,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
3831,REALE HOSPITAL CLINIC KABARNET,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
3900,"TIONYBEI MEDICAL CLINIC, MARIGAT",MEDICAL CLINIC,Private,LEVEL 2,BARINGO
3975,GENERATION AFYA CENTRE,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
3978,TIONYBEI MEDICAL CLINIC KABARTONJO,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
3989,PARKERRA MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
5009,RAVINE GLORY HEALTHCARE SERVICES MOGOTIO,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
7370,BLISS  HEALTHCARE ELDAMA RAVINE,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
7404,BLISS HEALTHCARE LTD KABARNET,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
14778,WILLGRACE HOSPITAL,HOSPITAL LEVEL 4,Private,LEVEL 4,BARINGO
15237,HONEYLAND HEALTHCARE,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
15304,MARUBEL HEALTH CARE,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
15445,PARCHEMO MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
15488,BARNET MEMORIAL MEDICAL CENTRE LIMITED BARWESSA,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
15622,SAGITIAN MEDICAL CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
16252,KABARNET FAITH CLINIC,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
16724,DESROYAL HEALTHCARE,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
16811,GDC STAFF CLINIC - PAKKA,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
17539,ALPHIL MEDICAL CENTRE LIMITED- KABURWO,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
17557,PARKERRA MEDICAL CLINIC TOIYOI,MEDICAL CENTRE,Private,LEVEL 3A,BARINGO
17568,NAKAJA MEDICAL DIAGNOSTIC CENTRE,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
17696,KABARNET COTTAGE HOSPITAL LIMITED,HOSPITAL LEVEL 4,Private,LEVEL 4,BARINGO
17750,SANTA CLARA MEDICAL CLINIC LTD,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
18062,KATAM MEDICAL CENTRE LIMITED,MEDICAL CLINIC,Private,LEVEL 2,BARINGO
