facility_name,reg_no,facility_type,level,county,status
1ST RONGAI PEDIATRIC CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,KAJIADO,ACTIVE
32 DENTAL STUDIO,006xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
360 MEDICARE CENTRE CO. LTD,015xxx,NURSING HOME,LEVEL 3A,NYAMIRA,INACTIVE
3KR HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NAKURU,ACTIVE
3RD PARK HOSPITAL LIMITED,018xxx,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,NAIROBI,ACTIVE
5 SENSES MEDICAL SERVICES LIMITED,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
5TH AVENUE MEDICAL AND DAY SURGERY CENTRE,015xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
64 DENTAL SUITES,010xxx,DENTAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
A-KILI FOUNDATION,016xxx,NURSING HOME,LEVEL 3A,NANDI,ACTIVE
A.C.C & S CHOMO COMMUNITY DISPENSARY,016xxx,FAITH BASED DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
A.C.C & S GITURU HEALTH CENTRE,001xxx,FAITH BASED DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
A.C.K ISIOLO DISPENSARY,001xxx,DISPENSARY,LEVEL 2,ISIOLO,ACTIVE
A.C.K MASABA DISPENSARY,001xxx,FAITH BASED DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
A.C.K NAMASOLI HEALTH CENTRE,001xxx,HEALTH CENTRE,LEVEL 3A,KAKAMEGA,ACTIVE
A.C.K ST. PAULS MIHUTI DISPENSARY,000xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
A.C.K ST. STEPHENS CURA MOTHERS UNION DISPENSARY,001xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
A.C.K SYONGILA CLINIC,009xxx,MEDICAL CLINIC,LEVEL 2,KITUI,ACTIVE
A.C.K. MASENO HOSPITAL,001xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,VIHIGA,ACTIVE
A.C.K. MOTHER\'S UNION DISPENSARY,002xxx,DISPENSARY,LEVEL 2,KITUI,ACTIVE
A.I.C MUKAA HEALTH CENTRE,000xxx,HEALTH CENTRE,LEVEL 3A,MAKUENI,ACTIVE
A.I.C BAROTION HEALTH CENTRE,000xxx,FAITH-BASED BASIC CENTRE,LEVEL 3B,KERICHO,ACTIVE
A.I.C BETHLEHEM HOUSE OF BREAD DISPENSARY,007xxx,FAITH BASED DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
A.I.C CHURO DISPENSARY,000xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
A.I.C DABA DISPENSARY,001xxx,DISPENSARY,LEVEL 2,TANA RIVER,ACTIVE
A.I.C DIGUNA DISPENSARY,001xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
A.I.C GITHUMU MISSION HOSPITAL,000xxx,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,MURANG'A,ACTIVE
A.I.C KALAMBA SUB - HEALTH CENTRE,000xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
A.I.C KAPSOWAR MISSION HOSPITAL,001xxx,FAITH BASED LEVEL 5 HOSPITAL,LEVEL 5,ELGEYO/ MARAKWET,ACTIVE
A.I.C KIJABE HOSPITAL NAIROBI MEDICAL CENTRE,007xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
A.I.C KISERIAN DISPENSARY,000xxx,DISPENSARY,LEVEL 2,KAJIADO,ACTIVE
A.I.C KIU DISPENSARY,001xxx,DISPENSARY,LEVEL 2,MAKUENI,INACTIVE
A.I.C LOKORI HEALTH CENTRE,003xxx,HEALTH CENTRE,LEVEL 3A,TURKANA,ACTIVE
A.I.C MALANGA DISPENSARY,001xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
A.I.C MBOONI SUB HEALTH CENTRE,000xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
A.I.C MULANGO HEALTH CENTRE KITUI,002xxx,HEALTH CENTRE,LEVEL 3A,KITUI,ACTIVE
A.I.C NDURIRI DISPENSARY,000xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
A.I.C NYAKACH DISPENSARY,017xxx,HEALTH CENTRE,LEVEL 3A,KISUMU,ACTIVE
A.I.C OLASITI SUSWA DISPENSARY,001xxx,DISPENSARY,LEVEL 2,NAROK,INACTIVE
A.I.C WAJIR DISPENSARY,000xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
A.I.C. KALOKOL HEALTH CENTRE,002xxx,FAITH-BASED BASIC CENTRE,LEVEL 3B,NAIROBI,ACTIVE
A.I.C. MUKEU DISPENSARY,000xxx,DISPENSARY,LEVEL 2,NYANDARUA,ACTIVE
A.I.C. RAINBOW DISPENSARY,000xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
A.P. EMBAKASI,GK-xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
AAR ADAMS HEALTH CENTRE,003xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AAR DONHOLM OUTPATIENT CENTRE,004xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
AAR ELDORET HEALTH CENTRE,003xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
