Provider,Amount
3RD PARK HOSPITAL LIMITED,"33,600.00"
A.I.C GITHUMU MISSION HOSPITAL,"1,062,800.00"
A.I.C KAPSOWAR MISSION HOSPITAL,"224,000.00"
AFRICA INUKA HOSPITAL LTD- MILIMANI,"1,552,300.00"
AFRICA INUKA HOSPITAL LTD-MADEYA,"212,800.00"
AFRICA MUSLIM AGENCY HEALTH CENTRE,"3,549,280.00"
AFYA INTERNATIONAL HOSPITAL,"627,200.00"
AIC CURE INTERNATIONAL HOSPITAL,"1,736,000.00"
AIC KIJABE HOSPITAL,"14,537,960.00"
AIC LITEIN HOSPITAL,"3,387,600.00"
AL-AMANNAH HOSPITAL,"772,800.00"
AL-BUSHRA MEDICAL CENTRE,"145,600.00"
AL-FOWZ NURSING HOME,"134,400.00"
ALPHA HILL MEDICAL CENTER LIMITED,"2,354,800.00"
ANSARI MEDICAL CLINIC &amp; LABORATORY,"56,000.00"
ANTALIYA HOSPITAL LIMITED,"737,840.00"
APEX HEAL EYE CENTRE LIMITED,"100,800.00"
ARAWA HOSPITAL LIMITED,"537,600.00"
ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPITAL,"1,142,400.00"
ASTER HEALTHCARE LIMITED,"2,210,880.00"
AVENUE HOSPITAL,"593,600.00"
AVENUE HOSPITAL THIKA,"156,800.00"
AVENUE HOSPITAL- KISUMU,"1,412,960.00"
BAMA HOSPITAL LLP,"526,400.00"
BARIKA MEDICAL CENTRE LIMITED,"280,000.00"
BAYLEAF HEALTH CENTRE,"1,498,560.00"
BELARISU MEDICAL CENTRE,"201,600.00"
BENTA AND LEON HEALTHCARE LTD,"1,184,400.00"
BESTCARE HOSPITAL LIMITED,"604,800.00"
BETHESDA HEALTH CARE SERVICES COMPANY LIMITED,"2,676,800.00"
BEYOND SCOPE HOSPITAL,"134,400.00"
BIBLE FAITH CHURCH MEDICAL SERVICES,"1,419,000.00"
BISHOP U. J. KIOKO CATHOLIC HOSPITAL,"3,278,800.00"
BLOOM HOSPITAL NAKURU LIMITED,"156,800.00"
BLOOM SURGICAL CENTRE LIMITED - KISUMU,"33,600.00"
