Provider,Amount
3rd Park Hospital Limited,"13,440.00"
A.I.C BETHLEHEM HOUSE OF BREAD DISPENSARY,"131,899.59"
A.I.C BETHLEHEM HOUSE OF BREAD DISPENSARY,"325,424.63"
A.I.C KAPSOWAR MISSION HOSPITAL,"787,040.00"
A.I.C KAPSOWAR MISSION HOSPITAL,1715480
A.I.C KAPSOWAR MISSION HOSPITAL,"2,851,160.00"
A.I.C KAPSOWAR MISSION HOSPITAL,"3,028,160.00"
A.I.C KAPSOWAR MISSION HOSPITAL,3456060
A.I.C KAPSOWAR MISSION HOSPITAL,"4,793,360.00"
A.I.C LOKORI HEALTH CENTRE,"7,787.36"
A.I.C LOKORI HEALTH CENTRE,"10,000.00"
A.I.C LOKORI HEALTH CENTRE,"21,200.00"
A.I.C LOKORI HEALTH CENTRE,"22,502.61"
A.I.C MULANGO HEALTH CENTRE KITUI,"3,535.91"
A.I.C. KALOKOL HEALTH CENTRE,"108,685.98"
AAR HOSPITAL LIMITED MUTHAIGA,"1,155,390.00"
AAR HOSPITAL LIMITED MUTHAIGA,"1,187,280.00"
AAR HOSPITAL LIMITED MUTHAIGA,"2,761,920.00"
AAR HOSPITAL LIMITED MUTHAIGA,"7,987,160.00"
AASIF MEDICAL AND HEALTH SERVICES LIMITED,"201,600.00"
AASIF MEDICAL AND HEALTH SERVICES LIMITED,"302,400.00"
AASIF MEDICAL AND HEALTH SERVICES LIMITED,318080
AASIF MEDICAL AND HEALTH SERVICES LIMITED,"595,840.00"
AASIF MEDICAL AND HEALTH SERVICES LIMITED,"620,480.00"
ABAKORE NURSING HOME LIMITED,"28,992.64"
ABAKORE NURSING HOME LIMITED,"36,777.93"
ABAKORE NURSING HOME LIMITED,"165,760.00"
ABAKORE NURSING HOME LIMITED,"864,640.00"
ABAKORE NURSING HOME LIMITED,"940,800.00"
ABAKORE NURSING HOME LIMITED,"2,175,040.00"
ABAKORE SUB-COUNTY HOSPITAL,"260,800.00"
ABALA HEALTHCARE LIMITED,"81,662.18"
ABDISAMIT DISPENSARY,"16,972.52"
ABDISAMIT DISPENSARY,"30,000.00"
ABDIWAQO DISPENSARY,"69,083.37"
ABDIWAQO DISPENSARY,"71,153.34"
ABDUL-AZIZ MEDICAL CENTRE,"17,185.82"
