Provider,Amount
1 KENYATTA NATIONAL HOSPITAL,"341,491,903.00"
2 MOI TEACHING AND REFERRAL HOSPITAL,"190,679,328.03"
3 KENYATTA UNIVERSITY TEACHING REFERRAL AND RESEARCH HOSPITAL,"107,856,136.00"
4 AIC KIJABE HOSPITAL,"95,063,964.00"
5 TENWEK HOSPITAL,"94,286,398.34"
6 JARAMOGI OGINGA ODINGA TEACHING AND REFERRAL HOSPITAL,"90,541,165.00"
7 P.C.E.A KIKUYU HOSPITAL,"82,208,619.00"
8 MATHARI NATIONAL TEACHING AND REFERRAL HOSPITAL,"72,881,680.00"
9 RIFT VALLEY PROVINCIAL GENERAL HOSPITAL NAKURU,"67,990,935.00"
10 TOP HILL BRAIN AND SPINE HOSPITAL,"56,998,551.00"
11 KANDIEGE SUB-COUNTY HOSPITAL,"54,370,000.00"
12 LIFECARE HOSPITAL-ELDORET LIMITED,"53,224,968.93"
13 COAST GENERAL TEACHING AND REFERRAL HOSPITAL,"50,122,653.00"
14 NAIROBI WEST HOSPITAL,"49,823,341.73"
15 TEXAS CANCER CENTRE NAIROBI WEST,"42,543,813.00"
16 ST. THERESA MISSION HOSPITAL KIIRUA,"41,531,799.00"
17 KAKAMEGA COUNTY GENERAL HOSPITAL,"40,969,624.00"
18 GRACE PARK MEDICAL CENTRE,"36,503,715.60"
19 POPE BENEDICT XVI HOSPITAL,"36,316,650.00"
20 MEDILIFE HOSPITAL LIMITED,"36,088,960.00"
21 CHIRON MEDICAL DIAGNOSTICS AND IMAGING HOSPITAL LIMITED,"34,998,870.00"
22 NORTH KINANGOP CATHOLIC HOSPITAL,"34,672,130.00"
23 MERU DOCTORS PLAZA LIMITED,"33,723,409.00"
24 LIVING ROOM INTERNATIONAL,"30,140,650.00"
25 JUMUIA HOSPITAL HURUMA,"29,122,938.00"
26 LADNAN HOSPITAL,"28,397,113.00"
27 OUR LADY OF MERCY MISSION HOSPITAL,"28,310,360.00"
28 A.I.C KAPSOWAR MISSION HOSPITAL,"28,257,900.00"
29 MEDISTAR HOSPITAL KERICHO LIMITED,"27,545,398.00"
30 OUTSPAN HOSPITAL,"26,746,764.75"
31 EMBU COUNTY REFERRAL HOSPITAL,"26,437,982.00"
32 COPTIC HOSPITAL - NGONG ROAD,"25,888,997.00"
33 THE MATER HOSPITAL,"25,101,274.00"
34 THE AGA KHAN UNIVERSITY HOSPITAL NAIROBI,"24,958,293.27"
35 REALE HOSPITAL ELDORET,"24,863,400.00"
36 ST LUKES ORTHOPAEDIC AND TRAUMA HOSPITAL UASIN GISHU,"24,807,009.00"
37 MIGORI COUNTY REFERRAL HOSPITAL,"24,275,110.00"
38 KISII TEACHING AND REFERRAL HOSPITAL,"24,261,490.00"
39 MERU TEACHING AND REFERRAL HOSPITAL,"23,557,294.00"
40 PCEA CHOGORIA HOSPITAL,"23,526,755.00"
41 NYERI COUNTY REFERRAL HOSPITAL,"23,065,970.00"
42 CONSOLATA HOSPITAL MATHARI,"22,469,744.37"
43 CROWN SPECIALIST CENTRE,"22,266,346.00"
44 NEEMA UNIVERSAL HEALTH CARE LIMITED-EMBU TOWN,"22,245,438.00"
45 METROPOLITAN HOSPITAL,"21,660,868.00"
46 KENYATTA NATIONAL HOSPITAL AMENITY WING,"21,472,067.00"
47 ST. ELIZABETH MISSION HOSPITAL MUKUMU,"21,420,948.00"
48 KITUI COUNTY REFERRAL HOSPITAL,"20,589,032.50"
49 RACECOURSE HOSPITAL,"20,565,310.00"
50 KERUGOYA COUNTY REFERRAL HOSPITAL,"20,077,250.00"
51 OUR LADY OF LOURDES MWEA HOSPITAL,"19,982,860.00"
52 PCEA TUMUTUMU MISSION HOSPITAL,"19,085,484.00"
53 ABM SPECIALIZED HOSPITAL,"18,982,620.00"
54 NYAMIRA COUNTY REFERAL HOSPITAL,"18,617,280.00"
55 ST. ANNE MISSION HOSPITAL,"18,024,770.00"
56 THIKA COUNTY REFERRAL HOSPITAL,"17,904,220.00"
