Provider,AMOUNT
3RD PARK HOSPITAL LIMITED,20160
A.C.K NAMASOLI HEALTH CENTRE,247120
A.C.K. MASENO HOSPITAL,2912000
A.I.C GITHUMU MISSION HOSPITAL,3246360
A.I.C KAPSOWAR MISSION HOSPITAL,14840640
AAR HOSPITAL LIMITED MUTHAIGA,7650340
Aasif medical and Health service limited,2432320
ABAKAILE DISPENSARY,20000
ABAKORE NURSING HOME LIMITED,2864960
ABALA HEALTHCARE LIMITED,3456320
ABM SPECIALIZED HOSPITAL,1028110
ABOLOI DISPENSARY,20000
ABQA ANNEX MEDICAL CENTRE LTD,618240
ABRAR HEALTH SERVICES BANISSA,519680
ABRAR HEALTH SERVICES LIMITED,598080
ABRAR HEALTH SERVICES MANDERA LIMITED,889120
ABUBAKAR SIDIQ NURSING HOME,778320
ABULO MEDICAL CENTER,1182720
ABUU AMIRA NURSING HOME,1845760
ABYAN HOSPITAL LIMITED,2951120
ACE NORTHERN HOSPITAL LTD,10000
Acela Medical Centre,708880
ACELA MEDICAL CENTRE LIMITED,1315840
ACK DR. PIKE ROPER MEDICAL CENTRE,119440
ACK KHASOKO HEALTH CENTRE,30000
ACK MT KENYA HOSPITAL MWEA,647360
ACK NAMBOBOTO HEALTH CENTRE,81200
ACK PORT FLORENCE COMMUNITY HOSPITAL,147840
ACK ST.LUKES MISSION NURSING HOME,20000
ADC MARKET NURSING HOME LIMITED,2226560
ADEMASAJIDA DISPENSARY,50000
ADIEDO DISPENSARY,30000
ADU DISPENSARY,430000
Adungosi Medical Clinic,88400
Advanced Cancer Centre,4925262
ADVANCED CANCER CENTRE LIMITED,6286554
ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS,734850
AFARSHANLE DISPENSARY,80000
AFEY HILLOW NURSING HOME LIMITED,3029040
AFLAH MEDICAL CENTRE,725760
AFNAAN HEALTHCARE SERVICES,504000
AFRAHA MATERNITY & NURSING HOME,86000
AFRAHA MATERNITY AND NURSING HOME,135440
AFRICA INUKA HOSPITAL LTD- MILIMANI,7700360
AFRICA INUKA HOSPITAL LTD- UGUNJA,194880
AFRICA INUKA HOSPITAL LTD-MADEYA,4001520
AFRICA INUKA HOSPITAL LTD-MILIMANI,1279120
AFRICA MISSION SERVICES COMMUNITY CLINIC,70000
AFRICA MUSLIMS AGENCY HEALTH CENTRE THIKA,2948720
AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,915900
AFYA BORA CLINIC MUTOMO,26880
AFYA BORA MEDICAL CLINIC MUTOMO,94080
AFYA HEALTH SYSTEMS ORGANIZATION,2477440
AFYA HILL MEDICAL CENTRE,4428160
AFYA INTERNATIONAL HOSPITAL,286160
Afya Link Medical Center,649600
AFYA MEDICAL CLINIC AND NURSING HOME,4027520
AFYA NGAMBO MEDICAL CLINIC,10000
AFYA NURSING HOME MOYALE,684800
AFYALINE SALGAA MEDICAL CENTRE,1317520
AFYALINK MEDICAL CENTRE,2307200
AFYAPOINT MEDICARE LIMITED ANNEX,67200
AFYAPOINT MEDICARE LIMITED -ANNEX,33600
Afyastar Medical Clinic,10000
AGA KHAN HOSPITAL KISUMU-NYAMIRA MEDICAL CE,224000
Agakhan Clinic (Kisii),112000
AGISO HEALTHCARE,306880
AHAVA MEDICAL CENTRE,1012160
AHERO MEDICAL CENTER,907040
Ahero Medical Centre,268640
AHERO SUB-COUNTY HOSPITAL,6393680
AHLI HOSPITAL LIMITED,33440
Ahmadiya Hospital,362560
AHMADIYYA MUSLIM HOSPITAL,817040
AIC CURE INTERNATIONAL HOSPITAL,2723840
AIC KIJABE HOSPITAL,75464180
AIC KIJABE HOSPITAL-NAIVASHA MEDICAL CENTRE,3068640
AIC LITEIN HOSPITAL,11312898
AIC LODENGO HEALTH CENTRE,577600
AIC LOKICHOGIO HEALTH CENTRE,212880
AIMO HEALTH CENTRE,145600
AINAMOI HEALTH CENTRE,123440
Airport Health Centre,300000
AIRPORT HEALTH CENTRE-KISUMU,905520
AKALA HEALTH CENTRE,300000
AKEDEJOE FAMILY THERAPY AND COTTAGE HOSPITA,322560
Akedejoe Family Therapy and Cottage Medical Centre,56000
Akemo Nursing Home,1202320
AKEMO VALLEY MATERNITY AND NURSING HOME,4718960
AKM HEALTH CENTRE LTD,1258880
AKRAM MEDICAL CENTRE,1762880
AKRAM MEDICAL CENTRE LTD,936320
AL ABRAR NURSING HOME,363200
AL AHLI Nursing Home,2177280
AL AHLI NURSING HOME LIMITED,5526080
AL FARID HOSPITAL LIMITED,2056320
Al Farooq Hospital,589360
AL FOAUD HOSPITAL LTD,2215360
AL MAARAJ MEDICAL CENTRE,855680
AL MAIDAH NURSING HOME LIMITED,2273600
AL MANAR NURSING HOME LIMITED,1068480
Al Naim Medical Clinic and Lab Services,739200
AL NAS NURSING HOME,638400
AL NASRI NURSING HOME,436800
AL NASRI NURSING HOME LTD,795200
AL RAHMAN NURSING HOME LTD,2343040
AL SHIFAC NURSING HOME LIMITED,2092960
AL WAHAB MEDICARE,909440
AL-AIN MEDICAL CENTRE LIMITED,152320
ALALE HEALTH CENTRE,120000
ALAMAGAN MEDICAL CENTRE LIMITED,2373200
AL-AMANNAH HOSPITAL,3893120
ALATI NURSING HOME,678720
ALBADHAR NURSING HOME,914960
AL-BAITUL TIIBA HOSPITAL LIMITED,3233680
AL-BAQARAH NURSING HOME LIMITED,3512320
AL-BASRAH HOSPITAL LIMITED,771280
AL-BASRAH HOSPITAL LTD,3831200
Albilal Medical Clinic (Moyale),145600
AL-BILAL NURSING HOME,378560
AL-BUQARI NURSING HOME LIMITED,985600
AL-BUSHRA MEDICAL CENTRE,2671200
ALEN WALES LOLGORIAN MEDICAL CLINIC,48080
Alexandria Cancer Centre & Palliative care Hospital,566325
ALEXANDRIA CANCER CENTRE AND PALLIATIVE HOS,1188373
AL-FALAH NURSING HOME LIMITED,2358720
ALFAROOQ HOSPITAL LTD,3027600
ALFATAH MEDICAL CLINIC,6720
ALFOMBIU MEDICAL CLINIC,1031440
AL-FOWZ NURSING HOME,2927680
AL-HARAMEIN NURSING HOME & LABORATORY SERV,1049720
Al-Hayat Nursing Home & Maternity Services,974400
ALHAYAT NURSING HOME &amp; MATERNITY SERVIC,994560
AL-HIKMA MEDICAL CENTRE,904960
AL-HUDA NURSING HOME,226240
AL-HUDA NURSING HOME LTD,2638720
ALIBEE NURSING HOME LIMITED,736960
ALIBRAR MEDICAL CENTRE LIMITED,1946560
ALIKUNE HEALTH CENTRE,10000
ALIMAOW HEALTH CENTRE,909200
AL-ISHRAQ NURSING HOME LIMITED,1846800
AL-JAMIL NURSING HOME LIMITED,5279680
Al-Kawthar Medical Centre,981120
ALKAWTHAR WELLNESS CENTRE ANNEX LIMITED,3448480
AL-KAWTHAR WELLNESS CENTRE LIMITED,2106720
ALLIANCE MEDICAL CENTRE,1084350
Alliance Medical Centre (Mombasa),394050
ALLIANCE MEDICAL CENTRE LTD GARISSA,1248900
ALLIANCE MEDICAL CENTRE MOMBASA,745500
ALLUC MEDICAL CENTRE,829680
ALMAARAJ MEDICAL CENTRE,591360
AL-MAQDIS MEDICAL CENTRE,2200400
AL-MASRY NURSING HOME LIMITED,3344320
ALMISBAH MEDICAL CENTRE,3447280
ALMO NURSING HOME LIMITED,2508800
ALMOND NURSING HOME,1924160
AL-MUHARAM NURSING HOME LTD,382720
AL-MUNTAHA HOSPITAL LIMITED,1133440
ALMUZAINI ISLAMIC HOSPITAL KENYA LIMITED,67200
Al-muzayny Hospital,241920
AL-NAJAH MEDICARE LIMITED,987840
AL-NAS NURSING HOME,1424640
ALPHA COMMUNITY NURSING HOME,190400
ALPHA HILL MEDICAL CENTER LIMITED,2060650
ALPHA MEDICAL CENTRE- KAEWA,275520
Alpha Medical Centre-Kaewa,133200
ALPHIL MATERNITY AND NURSING HOME,1913840
ALPHIL MEDICAL CENTRE LIMITED,50000
ALPHIL MEDICAL CENTRE LIMITED (Nakuru),50000
ALPHIL MEDICAL CENTRE LIMITED- KABURWO,309120
Alpo Medical Centre,255200
Al-Raheem Medical Centre,463680
ALRAHEEM MEDICAL CENTRE LIMITED,750400
Al-Rahman Nursing Home,797440
AL-RAYAN CHILD AND FAMILY CARE,1039360
AL-SHAKUUR NURSING HOME LIMITED,3953600
ALSHEFAUN HEALTH CLINIC LIMITED,676480
AL-SHIFAAT NURSING HOME,1960000
AL-SIHA NURSING HOME,2933040
ALUM BEACH DISPENSARY,20000
ALUNGU DISPENSARY,109760
ALUNGU HEALTH CENTRE,167680
Aluor Mission Health Centre,146640
ALUPE SUB-COUNTY HOSPITAL,735440
AL-WADUD NURSING HOME LIMITED,1478400
AL-zahrawi nursing home,448000
AL-ZAHRAWI NURSING HOME,846720
Ama (Africa Muslim Agency) Clinic,593600
AMANE COTTAGE HOSPITAL,601360
AMANSAN HOSPITAL LIMITED,1946560
AMATIERO HEALTH CENTRE,40000
AMBIRA SUB-COUNTY HOSPITAL,499840
AMI RUHAMA CHURCH WARABA MEDICAL CENTRE,500240
AMINA COMMUNITY HOSPITAL CENTRE LIMITED,58240
Ammusait General Hospital,190000
AMOYO DISPENSARY,10000
AMOYO HEALTHCARE MEDICAL CLINIC,642880
AMUKURA HEALTH CENTRE,220480
AMURT HEALTH CARE CENTRE MALINDI- MUYEYE CL,40000
AN NAJAH MEDICAL CARE LIMITED,685440
Andersen Medical Centre,95840
ANDIWO DISPENSARY,40000
Andiwo Health Center,40000
Anfac Nursing Home,822080
ANFAL MEDICAL CENTER LIMITED,22400
ANG\\'IYA DISPENSARY,10000
ANGATA BARRIKOI HEALTH CENTRE,30000
Angata Health Centre,60000
ANG'IYA DISPENSARY,40000
ANGOLA HEALTH CENTRE,40000
ANGURAI HEALTH CENTRE,153760
Anisaa Medical Care,1389840
ANKA HOSPITAL - ISIOLO,322560
Anka Hospital Isiolo,292320
ANKA HOSPITAL LIMITED,891520
Ankara Nursing Home,1389920
Annex Hospital (Nakuru),1030640
ANNEX LOC MEDICARE,198000
Annex loc.Medical clinic,164400
ANOLE DISPENSARY,255200
ANOLE HEALTHCENTRE,119760
Ansar Medical Clinic,211680
ANSARI MEDICAL CLINIC &amp; LABORATORY,556558
Antaliya Hospital,257200
ANTALIYA HOSPITAL LIMITED,596320
APEX HEAL EYE CENTRE LIMITED,226240
APIDA MEDICAL CENTRE,2065280
Appex Hosp,63760
APPEX HOSPITAL,98560
APU DISPENSARY,20000
Apu Health Centre,20000
Arabia Health Centre,84000
ARABIA NURSING HOME,1792000
ARABIA SUB COUNTY HOSPITAL,218000
ARAWA HOSPITAL,60000
ARAWA HOSPITAL LIMITED,106000
ARBAQEYRANSO DISPENSARY,30000
ARC Waraba Medica Centre,492320
ARCHERS POST HEALTH CENTRE,25680
ARCHERS POST SUB-COUNTY HOSPITAL,100400
Archprime Medical Clinic,1115520
ARCHPRIME MEDICAL CLINIC OYUGIS,1657600
Ardagarbicha Dispensary,110000
ARDAHAGARSU DISPENSARY,40000
Aresa Dispensary,290000
ARESA Medicare,1559040
ARISE HOSPITAL,30160
Arizona Medical Center Limited,398720
AROHA CANCER CENTRE LTD,1239200
ARROR HEALTH CENTRE,585520
ARROWS CARE MEDICAL CENTER,1373120
Arrows Care Medical Centre,974400
ARTIC HOSPITAL LIMITED,8960
ASAD MEDICAL CENTRE,184640
ASAL DHALAT NURSING HOME LIMITED,1178240
ASAYI DISPENSARY,80000
Ashabito Health Centre,152000
ASHABITO MEDICAL CENTRE,3233360
Ashburn Ohuru Nursing Home,210400
ASPRO MEDECOL SOLUTION LIMITED,387520
Aspro Medecol Solutions,371840
ASSA DISPENSARY,60000
ASSISI NURSING HOME,57040
ASSUMPTION OF MARY ITHANGA CATHOLIC HOSPIT,1425840
Aster Health Care Limited,759900
ASTER HEALTHCARE LIMITED,13319960
Aster Point Hospital,410500
ASTER POINT HOSPITAL LTD,1426400
ASUMBI ANNEX DISPENSARY,60480
ASUMBI GIRLS MEDICAL CLINIC,750400
Asumbi Mission Hospital,225120
Athi Mission Clinic,10000
ATHI RIVER MEDICAL SERVICES,690240
ATIMIROS MEMORIAL,60480
ATIMIROS MEMORIAL HOSPITAL,40320
AVENUE HOSPITAL,13356531
Avenue Hospital Kisumu,1757380
AVENUE HOSPITAL- KISUMU,1827230
AVENUE HOSPITAL THIKA,10482620
AWACH HEALTH CENTRE,10000
AWALOW NURSING HOME LIMITED,1384240
AWASI CATHOLIC MISSION HEALTH CENTRE,450399
Awasi Mission Health Center,6720
AWENDO SUB-COUNTY HOSPITAL,495840
AYMAN MEDICARE AND NURSING HOME LIMITED,1230320
AYNUN NURSING HOME LIMITED,1901760
AZIM NURSING HOME LIMITED,125440
Azmi Medical Centre And Nursing Home Limited,846720
AZNA NURSING HOME LIMITED,963200
B & L Healthcare(Naivasha),1731890
BAARI HEALTH CENTRE,40000
BABADOGO HEALTH CENTRE,170000
BACASAVI COUNSELLING AND WELLNESS SERVICES,137800
Bachile Dispensary,120000
BAHATI DISTRICT HOSPITAL,226720
BAHATI HOSPITAL,70000
BAHATI HOSPITAL JOSKA BRANCH,483940
BAHATI SUB-COUNTY HOSPITAL,505680
BALA HEALTH CENTRE,77200
BALANCE LIFE HOSPITAL LIMITED,2688000
BALANGA MEDICAL CENTER LIMITED,2968000
Balatula Amin Dispensary,10000
BALDO IPPOLITA CATHOLIC HEALTH CENTRE,89440
Balozi Hospital LTD,366320
Bama Hospital,178000
BAMA HOSPITAL LLP,591920
Bamba Maternity Nursing Home,127680
BAMBA SUB-COUNTY HOSPITAL,550000
BAMBA SUB-DISTRICT HOSPITAL,81000
BAMBO DISPENSARY,50000
BAMBO DISPENSARY (WARANQARA),60000
Bandari Dispensary,30000
Bande Dispensary,10000
BANGAL NURSING HOME LIMITED,1391040
BANGALE DISPENSARY,270000
BANIS NURSING HOME,672000
BANISA NURSING HOME LTD,492800
BANISA SUB COUNTY HOSPITAL,1743560
Baolala Dispensary,152240
BAOLALA MODEL HEALTH CENTRE,80000
BAQHDAD MEDICARE LIMITED,658560
BAR ALURU DISPENSARY (RARIEDA),30000
Bar Korwa Health Centre,246400
Bar Ndege Dispensary,10000
Baraka Hospital,422880
Baraka Maternity Home,246720
BAR-ALURU DISPENSARY,10000
Barani Dispensary,20000
Bareen Hospital,407680
BAREEN HOSPITAL LIMITED,775040
Baricho Catholic Health Centre,168000
BARICHO DISPENSARY,70000
BARICHO SUB-COUNTY HOSPITAL,40000
BARIKA MEDICAL CENTRE LIMITED,179200
BARIKA MEDICAL CENTRE LTD,242800
BARINGO COUNTY REFERRAL HOSPITAL,6736216
BARIO MEDICAL CENTER LIMITED,1202880
BARMILE NURSING HOME LIMITED,674080
Barsaloi Catholic Dispensary,10000
BARTABWA HEALTH CENTRE,42240
BARTS MEDICAL LIMITED,1265600
BARWAKO MEDICAL CENTRE,674240
BARWAQ DISPENSARY,40000
BARWAQO DISPENSARY,70000
BARWESSA HEALTH CENTRE,10000
BASHEY NURSING HOME LIMITED,642880
BASIR DISPENSARY,10000
Basir Nursing home,696640
BASIR NURSING HOME LIMITED,463680
BATALU DISPENSARY,40000
BATU MEDICAL CENTRE LIMITED,848800
Bay Leaf Health Center,281800
Bay Pharm OPD & Optic Clinic,331520
BAYAAN NURSING HOME,1969110
BAYPHARM MEDICAL CENTRE,564480
BEACON OF HOPE,30000
Beehive Medical Services,95000
BEGGS NURSING HOME LIMITED-MATUNDA,1160160
BEHZAD NURSING HOME LIMITED,1149120
Bekam Medical Centre,189200
BEKAM MEDICAL NURSING CENTER,296720
BELEVIEW SOUTH HOSPITAL LIMITED,885920
BELGOROD MEDICARE LIMITED,913920
Benane Nursing Home Limited,445760
Benards Vision Medical Centre,397520
Benglad Family Care Clinic,341200
Benmac Clinic,125800
BENMAC HEALTH CLINIC,56880
BENWING KAHATIA NURSING HOME,118720
Beramo Dispensary,10000
BERIL\\'S GWP MEDICAL CENTER,358400
Beril's GWP Medical centre,370640
BERISAMAAT MEDICAL CENTRE,2710400
BERMEIL NURSING HOME LIMITED,461280
BESHARA STREET NURSING HOME,964880
BESTCARE HOSPITAL LIMITED,423200
Bestcare Hospital Ltd,381280
Beta Care Hospital,103680
BETA CARE HOSPITAL LTD,30080
Beth Medical Services,284480
Bethany hill crest hospital,745600
Bethany Hillcrest Clinic Olchorro,353920
BETHANY HILLCREST HOSPITAL,163520
BETHANY HILLCREST HOSPITAL LIMITED,907040
BETHANY HILLCREST HOSPITAL- OLCHORRO,17920
BETHESDA HEALTH CARE SERVICES COMPANY LIMIT,973920
Bethesda Nursing Home (Karagita),162160
BETHESDA NURSING HOME KARAGITA,60320
BETHLEHEM HOME HOSPITAL,193680
Better Living Hospital,20160
BEYOND SCOPE HOSPITAL,3140640
BFN HOSPITAL LIMITED,10019520
BIBLE FAITH CHURCH MEDICAL SERVICES,843760
BIFLE MEDICAL CENTRE LIMITED,591360
BIKEKE HEALTH CENTRE,135840
BILABIL MEDICAL CLINIC,710080
Bilabil medical clinic limited,246400
BILKHEIR NURSING HOME LIMITED,2626000
Bin Insan Nursing Home,392000
BIN INSAN NURSING HOME LIMITED,347200
BIN-BARAKAT MEDICAL CENTRE LIMITED,201600
BINGWA AFYA CLINIC LTD,362880
Bingwa Afya Clinic(Naivasha),145600
BIRETWA MODEL HEALTH CENTRE,10000
BIRETWO HEALTH CENTRE,4480
Birkan Dispensary,140000
BIRKAN NURSING HOME LIMITED,1417920
BIRMAD HEALTHCARE SERVICES LTD,1471680
BIRMILE HEALTH CARE LIMITED,754880
Bisharo Nursing Home (Hola),58240
BISHARO NURSING HOME LIMITED,94080
BISHOP U. J. KIOKO CATHOLIC HOSPITAL,5395480
Bisunu Dispensary,50000
BIZET MEDICAL CENTRE,1475920
BLESSED COMMUNITY MEDICAL CLINIC,590000
BLESSED MARIA HELENA DISPENSARY,13440
BLESSED TALBOT MEDICAL CENTRE LTD,3195360
BLESSED TO BLESS HEALTHCARE LIMITED,112000
Blessed to Bless Hospital,468560
BLISSFAM HOSPITAL,30000
BLOOM DHAHABU LIMITED,6777097
BLOOM HEALTHCARE MACHAKOS,3849900
BLOOM HOSPITAL NAKURU LIMITED,151320
Bloom Hospital Nakuru LTD,151890
BLOOM SURGICAL CENTRE LIMITED -KISUMU,50400
Blue Light Nursing Home,1306840
Blue Nile Medical Clinic,89600
BLUE NILE MKOROSHONI MEDICAL CENTRE LTD,76160
BLUE RIDGE MEDICAL LTD,95850
BLUE RIDGE MEDICAL - THIKA,117150
BLUE RIDGE MEDICAL LTD -KISUMU,765000
Blue Ridge Medical-Thika,287550
BLUE TURTLE MEDICAL CLINIC,85120
Blue valley springs hospital,288800
BLUE VALLEY SPRINGS HOSPITAL LIMITED,421520
Blue Whale Medical Limited,1828400
BLUE WHALE MEDICAL LTD,3693680
BLUELIGHT HOSPITAL AND DIAGNOSTIC CENTRE LIM,1544618
Blueturtle,100640
BNM,477120
BOA DISPENSARY,20000
BODE CITY NURSING HOME LIMITED,822080
BODI HEALTH CENTRE,70000
BOENSUMMIT MEDICAL CENTER,20000
Boensummit medical clinic,70000
Bogota Bag Imaging and Nursing Home,60480
BOGOTA-BAG IMAGING AND NURSING HOME,13832880
BOGSO NURSING HOME RHAMU LIMITED,589120
BOJIGARSE DISPENSARY,10000
Bokole CDF Dispensary,140000
BOKOLE CDF HEALTH CENTER,50000
BOKOLI SUB COUNTY HOSPITAL,100640
Bokoli Sub-County Hospital,344800
BOMANI HOSPITAL LIMITED,839920
BOMANI MALDE DISPENSARY,40000
BOMBOLULU DIAGNOSTIC MEDICAL CENTRE,59120
Bombululu Medical Clinic,17920
BOMET HEALTH CENTRE,10000
BOMET\\'S HEALTH CARE,10000
Bomu Medical Hospital (Changamwe),653840
Bondeni Dispensary (Trans Nzoia West),30000
BONDENI HEALTH CENTRE,50000
Bondeni Sub County Hospital,130000
BONDENI SUB-COUNTY HOSPITAL,90000
BONDO MEDICAL CENTRE,22400
Bondo Medical Clinic,33600
BONDO SUB COUNTY HOSPITAL,448640
BONDO SUB-COUNTY REFERRAL HOSPITAL,1398080
Bonyunyu prime Health Care Maternity and Nursing H,2820160
BORANGI HEALTH CENTRE,50000
BORDERLINE HEALTHCARE LIMITED,1460480
BORDERPOINT MEDICAL CENTER LIMITED,1479280
Bore Hole 11 Health Centre,283200
BOREHOLE ELEVEN NURSING HOME LIMITED,580160
BORO DISPENSARY,10000
Bosiango Health Centre,53600
BOSONGO MEDICAL CENTRE,17738999
BRAIN SPINE AND REHABILITATION,649600
