Provider,Amount
3RD PARK HOSPITAL LIMITED,"131,040.00"
A.I.C GITHUMU MISSION HOSPITAL,"6,193,640.00"
A.I.C KAPSOWAR MISSION HOSPITAL,"1,968,400.00"
AAR HOSPITAL LIMITED MUTHAIGA,"1,259,670.00"
ABAKORE SUB-COUNTY HOSPITAL,"134,400.00"
ABRAR HEALTH SERVICES MANDERA LIMITED,"11,200.00"
ABUBAKAR SIDIQ NURSING HOME,"181,440.00"
ABYAN HOSPITAL LIMITED,"6,395,200.00"
ACELA MEDICAL CENTRE LIMITED,"1,354,080.00"
ACK MT KENYA HOSPITAL MWEA,"1,718,080.00"
ACK PORT FLORENCE COMMUNITY HOSPITAL,"125,440.00"
ACORN COMMUNITY HOSPITAL LIMITED,"1,637,440.00"
ADADI DISPENSARY,"30,000.00"
ADADIJOLE DISPENSARY,"80,000.00"
ADVANCED CARE DIAGNOSTIC AND RENAL DIALYSIS LIMITED,"159,750.00"
AFLAH MEDICAL CENTRE,"371,840.00"
AFNAAN HEALTHCARE SERVICES,"56,000.00"
AFRAHA MATERNITY AND NURSING HOME,"35,840.00"
AFRICA INUKA HOSPITAL LTD- MILIMANI,"6,802,279.90"
AFRICA INUKA HOSPITAL LTD- UGUNJA,"916,160.00"
AFRICA INUKA HOSPITAL LTD-KISUMU,"6,993,040.00"
AFRICA INUKA HOSPITAL LTD-MADEYA,"3,979,920.00"
AFRICA MUSLIM AGENCY HEALTH CENTRE,"2,128,000.00"
AFRICA MUSLIM AGENCY HEALTH CENTRE THIKA,"100,000.00"
AFRICARE DIALYSIS CENTRES LIMITED- MURANGA,"74,550.00"
AFYA BORA MEDICAL CLINIC MUTOMO,"936,320.00"
AFYA INTERNATIONAL HOSPITAL,"499,520.00"
AFYA NURSING HOME MOYALE,"2,436,000.00"
AFYAPOINT MEDICARE LIMITED -ANNEX,"168,000.00"
AFYATELE CENTRE,"573,440.00"
AGAKHAN CLINIC (KISII),"4,480.00"
AGISO HEALTHCARE,"920,640.00"
AHAVA MEDICAL CENTRE,"759,360.00"
AHERO JUNCTION MEDICAL CENTRE,"100,800.00"
AHERO MEDICAL CENTRE,"788,480.00"
AHERO SUB-COUNTY HOSPITAL,"33,600.00"
AHLI HOSPITAL LIMITED,"58,960.00"
AHMADIYYA MUSLIM HOSPITAL,"4,114,880.00"
AIC CURE INTERNATIONAL HOSPITAL,"2,047,360.00"
AIC KIJABE HOSPITAL,"59,579,424.00"
AIC KIJABE HOSPITAL-NAIVASHA MEDICAL CENTRE,"47,040.00"
AIC LITEIN HOSPITAL,"8,565,440.00"
AIMA HOSPITAL LIMITED,"22,400.00"
AKEDEJOE FAMILY THERAPY AND COTTAGE HOSPITAL LIMITED,"519,680.00"
AKOLONG DISPENSARY,"30,000.00"
AL-AMANNAH HOSPITAL,"7,957,600.00"
AL-BASRAH HOSPITAL LTD,"10,947,384.00"
AL-BILAL NURSING HOME,"8,960.00"
AL-BUQARI NURSING HOME LIMITED,"320,320.00"
AL-BUSHRA MEDICAL CENTRE,"158,480.00"
AL-FOWZ NURSING HOME,"156,800.00"
AL-MAQDIS MEDICAL CENTRE,"2,378,880.00"
ALBAIK MEDICAL CENTRE,"53,760.00"
ALFAROOQ HOSPITAL LTD,"4,051,600.00"
ALLIANCE MEDICAL CENTRE,"74,550.00"
ALLIANCE MEDICAL CENTRE LTD GARISSA,"159,750.00"
ALMISBAH MEDICAL CENTRE,"100,500.00"
ALPHA HILL MEDICAL CENTER LIMITED,"5,128,880.00"
AMA (AFRICA MUSLIM AGENCY) CLINIC,"90,000.00"
AMBIRA SUB-COUNTY HOSPITAL,"846,720.00"
AMI RUHAMA CHURCH WARABA MEDICAL CENTRE,"1,906,240.00"
AMOYO HEALTHCARE MEDICAL CLINIC,"60,480.00"
AMUKURA SUB-COUNTY HOSPITAL,"183,680.00"
AN NAJAH MEDICAL CARE LIMITED,"1,603,840.00"
ANFAL MEDICAL CENTER LIMITED,"67,200.00"
ANGURAI HEALTH CENTRE,"143,360.00"
ANKA HOSPITAL - ISIOLO,"1,972,320.00"
ANKA HOSPITAL LIMITED,"431,200.00"
ANNEX LOC MEDICARE,"978,880.00"
ANOLE HEALTHCENTRE,"647,360.00"
ANSARI MEDICAL CLINIC & LABORATORY,"134,400.00"
ANTALIYA HOSPITAL LIMITED,"1,404,700.00"
APEX HEAL EYE CENTRE LIMITED,"274,400.00"
APIDA MEDICAL CENTRE,"26,880.00"
