Provider,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb
3rd Park Hospital Limited,"20,160",6720,57120,53760,16800,50400,13440,13440
A.I.C KAPSOWAR MISSION HOSPITAL,5551720,832559,7659119,1941360,2726320,4128640,1432000,3992080
AAR HOSPITAL - MUTHAIGA,1652170,937130,5083240,2370680,585160,3976833,478250,4762010
ABAKORE NURSING HOME LIMITED,,,82880,365120,228480,1337280,,952000
Abakore nursing home ltd,215040,11200,,,,,,
ABAKORE SUB DISTRICT HOSPITAL,,,,100800,16800,749040,,644160
ABIDHA HEALTH CENTRE,,,,70000,,30000,10000,50000
ABM Specialized Hospital,,,,1495630,186490,10000,155760,197980
ABRAR HEALTH SERVICES BANISSA,,,329280,174720,141120,452480,,571200
ABRAR HEALTH SERVICES-BANISA,"172,480",158300,,,,,,
Acef Ena Health Centre,"910,160",598720,931360,820160,147280,277120,46720,230240
ACK SOYSAMBU DISPENSARY,,,,,10000,,,
ADC Market Nursing Home Limited,,,181440,264320,76160,609280,49320,660800
ADEMASAJIDA DISPENSARY,"10,000",,,,,,,10000
Adiedo Health Centre,,,20000,10000,,20000,10000,
ADU DISPENSARY,,,10000,200000,50000,100000,20000,330000
Adungosi Medical Clinic,,,8960,35840,,181440,,154560
Advanced Cancer Centre,3992769,1802078,2425965,1327676,1396462,430560,1133348,270640
ADVANCED CARE DIAGNOSTICS AND RENAL DIALYSIS CENTRE,,,,4643397,255600,127800,31950,
AFRICA INUKA HOSPITAL LTD- KISUMU,,,,1305760,575520,1981200,78240,2928560
AFRICA INUKA HOSPITAL LTD-MILIMANI,,,,6552090,549040,1780160,,781520
AFRICA MUSLIM AGENCY HEALTH CENTRE THIKA,,,,,804640,4952080,,578480
Afya Health Systems Organization,"468,160",218640,633920,878080,280000,1352960,,1214080
Afya International Hospital,189280,30000,91840,125200,,291120,,96960
Afya Nursing Home (Moyale),"10,080",,33600,,,,,
AFYALINE SALGAA MEDICAL CENTRE,,,,190400,549840,478160,,569840
AFYAPOINT MEDICARE LIMITED ANNEX,"67,200",,,,,,,
AGA KHAN MOMBASA,,,,,14259925,8118729,,5289630
Agakhan Clinic (Kisii),,,250880,127680,165760,221760,35840,206080
Ahava Medical Centre,"230,720",16720,718880,573280,414400,1558560,,1581040
Ahero County Hospital,,,799520,,,,,
Ahero Medical Centre,"113,040",21200,210400,553120,135440,1296800,,861040
Ahero Sub-County Hospital,,,,748240,238640,771200,211280,1589840
AHLI HOSPITAL LIMITED,,,,33600,,,,
Ahmadiya Hospital,"648,160",33900,950640,577280,473600,1230800,,1654960
AIC KALOKOL HEALTH CENTRE,,,152000,127200,64640,552000,,342640
AIC KIJABE HOSPITAL,19468303,3610602,43703356,14622097,4920090,14863010,10512661,11067440
AIC LITEIN HOSPITAL,6828943,2852941,11582940,6077700,2050910,8801480,1117130,9107940
AIC LOKICHOGIO HEALTH CENTRE,,,60000,28960,28960,215600,,200480
Akala Health Centre,"50,000",,200000,90000,10000,190000,10000,320000
Akemo Nursing Home,"161,280",,248640,192640,51520,403040,,333600
AKRAM MEDICAL CENTRE LTD,,,,340480,172480,40320,,71680
AL AHLI Nursing Home,,,107520,96320,315840,840000,,580160
Al Amin Nursing Home,"31,950",,74550,21300,10650,21300,21300,21300
Al Farooq Hospital,"414,400",,2153840,817600,302400,1697679,818159,187440
Al Maidah Nursing Home Limited,,,,,147840,1263360,,1359680
AL MANAR NURSING HOME LIMITED,"154,560",72020,203840,80640,116480,215040,,232960
Al Naim Medical Clinic and Lab Services,,,,347200,235200,846720,239680,1364160
Al Shafic Nursing Home Limited,"217,280",,439040,,,,,
Al Shifac Nursing Home Limited,,,,499520,190400,1102080,,963200
Al-Amannah Hospital,"248,640",,322240,248640,271360,1508640,,1876780
AL-BASRAH HOSPITAL LIMITED,,,,100000,36720,1894960,,144160
Albilal Medical Clinic (Moyale),91840,,244160,138880,44800,251920,,458000
Alen Wales Lolgorian Medical Clinic Limited,,,,10000,,10000,,10000
Alexandria Cancer Centre & Palliative care Hospital,"337,833",287565,989782,653930,561183,,667526,55260
ALFOMBIU MEDICAL CLINIC,,,,30000,30000,30000,,30000
Alhamdu nursing home,11200,,396480,,,,,
Al-Hamdu Nursing Home,,,,227280,168000,1041600,,1208400
Al-Hayat Nursing Home & Maternity Services,,,524160,1004820,241920,1209600,430020,1639680
AL-HUDA NURSING HOME,"266,560",437540,607040,423360,179200,1393280,,992320
Al-Iqlas Medical Centre,"307,920",15680,449040,353760,143360,835520,,747840
AL-JAMIL NURSING HOME LIMITED,,,,954240,76160,1553200,,1501840
Al-Kawthar Medical Centre,,,1338600,1209600,413280,2644320,231840,3870720
Alliance Medical Centre,"372,748",159750,851992,372750,117150,585750,31950,692250
Alliance Medical Centre (Mombasa),"618,017",255600,1576200,500550,202350,1054350,42600,1298730
Alluc Medical Centre,"116,480",,437680,286560,163520,575520,,676320
ALMAARAJ MEDICAL CENTRE,,,,506240,239680,985600,52560,1029200
Al-Maqdis Medical Centre,,123200,159040,,91280,346080,,607200
Almiraj MC,"311,360",259780,631680,,,,,
ALMISBAH MEDICAL CENTRE,,,,1303680,537600,2738400,,3432800
Almisbah Nursing Home,"1,186,080",526800,2540720,,,,,
ALMOND NURSING HOME,26880,,,127680,63840,84000,,498400
AL-NUR MEDICAL CLINIC AND LABORATORT SERVICES,,,83250,,,,,
Alpha Community Health Clinic (Migori),"313,440",100260,416640,,,,,
Alpha Community Nursing Home,,,,183680,15680,365120,,443520
Alpha Hill Medical Center Limited,,,,908440,235040,2412480,356800,1489200
Alpha Hill Medical Centre,"1,400,880",324800,2636180,,,,,
ALPHIL MATERNITY AND NURSING HOME,"10,000",,20000,10000,,20000,,28960
ALPHIL MEDICAL CENTRE LIMITED (Nakuru),,,,30000,20000,60000,,90000
