Provider,Amount
ACK DR. PIKE ROPER MEDICAL CENTRE,70000
AIC KAJIADO HEALTH CENTRE,10000
ALMAS MEDICAL SERVICES,30000
AMUMA DISPENSARY,10000
ASHBURN COMMUNITY NURSING HOME,20000
AUSMUDULE DISPENSARY,20000
BABADOGO HEALTH CENTRE,10000
BANDE DISPENSARY,20000
BAR ACHUTH DISPENSARY,20000
BELLEVUE HEALTH CENTRE,10000
BOKIMAI DISPENSARY,30000
BUHURU PONYA MEDICAL CENTRE,30000
BUKOKHOLO DISPENSARY,10000
BUNGOMA COUNTY REFERRAL HOSPITAL,10000
BURJOHN DISPENSARY,70000
BUTINGO DISPENSARY,10000
CANCER CARE INTERNATIONAL,1236700
CARITAS MARIANA MAG. WALTRAUD SCHULTZ MEMORIAL DISPENSARY,10000
CHALANI DISPENSARY,10000
CHEGULO DISPENSARY,10000
CHEMWOROR HEALTH CENTRE,10000
CHEPTALAL SUB-COUNTY HOSPITAL,40000
COWDRAY DISPENSARY,10000
DAGAMRA DISPENSARY,50000
DAGORETTI SUB-COUNTY HOSPITAL MUTUINI,10000
DANDELION MEDICAL CENTRE-KILIMANJARO,20000
DARWED DISPENSARY,50000
DAWDER DISPENSARY,320000
DOPHIL NURSING &amp; MATERNITY HOME NOMIYA FAITH BASED,40000
DORAN LIFE CARE CENTRE,9950
DWELE HEALTH CENTRE,60000
EAGLE HEALTH AND CLINIC SERVICES,760000
EAGLE HEALTH AND CLINIC SERVICES RIRUTA BRANCH,540000
EKALAKALA HEALTH CENTRE,40000
EKICHELES DISPENSARY,30000
EKITALE DISPENSARY,20000
ELIMAT GROUP NURSING HOME(BUKHAKUNGA) LIMITED,10000
EMBU COUNTY REFERRAL HOSPITAL,10000
EMINING HEALTH CENTRE,10000
EMURUTOTO HEALTH CENTRE,70000
ENTANDA LEVEL 3 HOSPITAL,30000
ERAMBA HEALTH CENTRE,10000
ESIKULU DISPENSARY,10000
FAIRVIEW MEDICAL CENTRE,110000
GANDA DISPENSARY,10000
GANYURE DISPENSARY,30000
GARASHI DISPENSARY,30000
GARISSA DOCTORS PLAZA,10000
GATHANGA DISPENSARY,10000
GETA BUSH HEALTH CENTRE,10000
GIFTED MINDS MEDICAL CENTRE,10000
GILGIL SUB-COUNTY HOSPITAL,10000
GIRIBE DISPENSARY,10000
GONGO HEALTH CENTRE,30000
GONGONI HEALTH CENTRE,10000
GOTICHAKI DISPENSARY,10000
GRAND ROYALCARE MEDICAL CLINIC LIMITED,99600
GURUFA HEALTH CENTRE,20000
HAVEN HEALTHCARE,200000
HENI HEALTH CENTRE,10000
HOLO KADAWA COMMUNITY CLINIC,20000
Hulugho Sub County Hospital,10000
IMBIAKALO DISPENSARY,20000
IMURTOT HEALTH CENTRE,40000
INTERAIL COMMUNITY HEALTH SERVICES LTD,10000
IRESUKI DISPENSARY,50000
ISHIARA SUB-COUNTY HOSPITAL,290000
ITIERIO MATERNITY AND NURSING HOME,30000
KACHUTH DISPENSARY,20000
KAGWA HEALTH CENTRE,10000
KAIBOI MISSION,10000
KAIKOR HEALTH CENTER,10000
KAITUI DISPENSARY,10000
KAKUMA SUB-COUNTY HOSPITAL,10000
KAMKOMANI DISPENSARY,10000
KANGATOSA DISPENSARY,10000
KAPLAMAI HEALTH CENTRE,20000
KAPTALAMWA HEALTH CENTRE,20000
KAPTUMEK DISPENSARY,10000
KASUKU HEALTH CENTRE,10000
KATULANI HEALTH CENTRE,10000
KAVUNYALALO DISPENSARY,30000
KAYOLE 1 HEALTH CENTRE,10000
KEDOWA HEALTH CENTRE,40000
KEE DISPENSARY,10000
KENYATTA NATIONAL HOSPITAL,61739809
KERIO HEALTH CENTRE,10000
KHAOYA DISPENSARY,20000
KIAMBERE DAM DISPENSARY,10000
KIBINGEI DISPENSARY,20000
KIENI MODEL HEALTH CENTRE,10000
KILILI HEALTH CENTRE,10000
Kineni Dispensary,40000
KINONDO KWETU HOSPITAL,140000
KIOGE DISPENSARY,20000
KIRIBWET DISPENSARY,10000
KITHIMU HEALTH CENTRE,10000
KITHUKI HEALTH CENTRE,10000
KIZINGO HEALTH CENTRE,40000
KOBADADI DISPENSARY,90000
KOILOT HEALTH CENTRE,10000
KOKWOTENDWO DISPENSARY,70000
KOLANYA SALVATION ARMY HEALTH CENTRE,9000
KOLOWA HEALTH CENTRE,10000
KUIKUI HEALTH CENTRE,20000
KUOYO HEALTH CENTRE,40000
KURESIET DISPENSARY,40000
KUVASALI HEALTH CENTRE,10000
LAS ANO HEALTHCARE LIMITED,10000
LESSOS HEALTH CENTRE,10000
LOBEI HEALTH CENTRE,50000
Loruth Dispensary,20000
LUKUSI DISPENSARY,10000
LUNAKWE DISPENSARY,30000
LUTSANGANI DISPENSARY,10000
LUUCHO DISPENSARY,70000
MADOGO HEALTH CENTRE,10000
MAILI SABA DISPENSARY,10000
MAKINDU SUB-COUNTY HOSPITAL,10000
MAKUENI COUNTY REFERRAL HOSPITAL,30000
MALANGA HEALTH CENTRE,10000
MALAVA SUB COUNTY HOSPITAL,29998
MANG\\'U DISPENSARY,10000
MARIMANTI SUB COUNTY HOSPITAL,20000
MARIWA HEALTH CENTRE,30000
MARY HELP OF THE SICK MISSION HOSPITAL,191700
MASARIA DISPENSARY,20000
MASHAMBANI DISPENSARY,10000
MASOGO DISPENSARY,90000
MBITINI HEALTH CENTRE,20000
MBOGOINI DISPENSARY,10000
MBUGUNI DISPENSARY,10000
MELWA HEALTH CENTRE,20000
MERU TEACHING AND REFERRAL HOSPITAL,10000
MIDOINA DISPENSARY,10000
MIGERE DISPENSARY,10000
MIGORI COUNTY REFERRAL HOSPITAL,20000
MISIKHU DISPENSARY,30000
MKAO MOTO DISPENSARY,20000
MNYENZENI MODEL HEALTH CENTRE,70000
MODING HEALTH CENTRE,10000
MONGUNI DISPENSARY,10000
MOTONTO DISPENSARY,10000
MUKENDE HEALTH CENTRE,20000
MUKHOBOLA HEALTH CENTRE,1000
MURINDUKO HEALTH CENTRE,10000
MUSOKOTO DISPENSARY,10000
MUTHA HEALTH CENTRE,10000
NAIROBI KIDNEY CENTRE,10650
NAIVASHA SUB-COUNTY HOSPITAL,20000
NAMELOK HEALTH CENTRE,10000
NANDI HILLS SUB-COUNTY HOSPITAL,10000
NAYA HEALTH CENTRE,10000
NDAU DISPENSARY,10000
NDOVU HEALTH CENTRE,5000
NDUNDUNI DISPENSARY,10000
NEW KILIFI WANANCHI MATERNITY & NURSING HOME,10000
NGELECHOM DISPENSARY,10000
NG'ONG'A DISPENSARY,10000
NJEGAS HEALTH CENTRE,10000
NYABOKARANGE DISPENSARY,10000
NYAGOTO DISPENSARY,10000
NYAMBENE SUB-COUNTY HOSPITAL,120000
NYAWARA HEALTH CENTRE,10000
NZEVENI HEALTH CENTRE,10000
NZIU HEALTH CENTRE,30000
OLD MAWINGO HEALTH CENTRE,50000
OLDANYATI HEALTH CENTRE,10000
OLKOKWE HEALTH CENTRE,20000
OLMEKENYU DISPENSARY,10000
OLOIRIMIRIMI DISPENSARY,10000
OLOKYIN HEALTH CENTRE,10000
OLORIKA DISPENSARY,10000
PESI DISPENSARY,10000
Pingilikani dispensary,20000
PIONEER HEALTH CENTRE,10000
PRECIOUS LIFE MEDICAL CENTRE,10000
PUMWANI MATERNITY AND REFERRAL HOSPITAL,30000
QUEENS &amp; KINGS HEALTH CENTRE,20000
QURAHMADHOW DISPENSARY,29000
RABAI RURAL HEALTH DEMONSTRATION CENTRE,440000
RABONDO DISPENSARY,20000
RAM HOSPITAL LTD KISII,130000
RAMBUGU DISPENSARY,10000
RAMULA DISPENSARY,20000
RAMULA HEALTH CENTRE,20000
RARIW DISPENSARY,10000
RATTA HEALTH CENTRE,30000
REGAOL BARNABAS MEDICAL CLINIC,10000
RERA HEALTH CENTRE,20000
REUBEN HEALTH CENTRE,40000
RHONDA DISPENSARY,10000
RIAT DISPENSARY,10000
RIBE DISPENSARY,10000
RIFT VALLEY PROVINCIAL GENERAL HOSPITAL NAKURU,110000
Riokomor Dispensary,20000
RIOTANCHI HEALTH CENTRE,20000
ROBINS HEALTHCARE LIMITED,130650
ROBLESSING MEDICAL CENTRE,10000
RONGAI HEALTH CENTRE-NAKURU,60000
RORET SUB-COUNTY HOSPITAL,10000
ROSAMA MEDICAL SERVICES,30000
ROYAL ST MONICAH MEDICAL CENTRE LIMITED,2000
RUANDA DISPENSARY,20000
RUKALA MODEL HEALTH CENTRE,30000
SABA SABA HEALTH CENTRE,40000
SABAKI DISPENSARY,10000
SABATIA SUB-COUNTY HOSPITAL,30000
SACHANGWAN HEALTH CENTRE,20000
SAGANA SUB-COUNTY HOSPITAL,60000
SAIKA NURSING HOME,20000
SAIKERI DISPENSARY,10000
SAKUTIEK HEALTH CENTRE,40000
SANG\\'ALO MEDICAL CENTRE,10000
SCION HEALTHCARE- KWA NJENGA,20000
SCION HOSPITAL LIMITED,40000
SEREWO HEALTH CENTRE,20000
SHAMAKHUBI HEALTH CENTRE,10000
SHAMBERERE DISPENSARY,10000
SHELLA DISPENSARY,20000
SHIKUSA HEALTH CENTRE,50000
SHIVANGA HEALTH CENTRE,20000
SIFUYO HEALTH CENTRE,10000
SIMBA OPEPO DISPENSARY,10000
SITIKHO DISPENSARY,20000
ST FRANCIS CATHOLIC DISPENSARY KAWANGWARE GATINA,20000
STAR SPECIALIST HOSPITAL LIMITED,40000
SULTAN HAMUD SUB COUNTY HOSPITAL,30000
SYNERGY CLINICS - UGUNJA,53250
TAMOUGH HEALTH CENTRE,10000
TENGES HEALTH CENTRE,10000
THE NAKURU SPECIALIST HOSPITAL LTD(CANCER &amp; INFECTIOUS DESE,270000
THE RIVER JORDAN MEDICAL CENTRE LTD,10000
THE WHITE CRESCENT HOSPITAL,230000
THE WHITE CRESCENT HOSPITAL LIMITED,180250
THINU HEALTH CENTRE,10000
TIGOI HEALTH CENTRE,40000
TISINYE HEALTH CENTRE,10000
URIRI SUB-COUNTY HOSPITAL,40000
USAO HEALTH CENTRE,10000
USIGU HEALTH CENTRE,40000
USUBEY DISPENSARY,90000
UTHIRU MUTHUA HEALTH CENTRE,60000
UTWIINI DISPENSARY,40000
UYAWI SUB-COUNTY HOSPITAL,10000
VIHIGA HEALTH CENTRE,10000
VISHAKANI DISPENSARY,10000
WAGAI HEALTH CENTRE,30000
WAGBERI DISPENSARY,50000
WAITHAKA HEALTH CENTRE,50000
WAMUNYU HEALTH CENTRE,20000
WANANCHI JAMII HOSPITAL LIMITED,30000
WANGNYANG DISPENSARY,10000
WARANGARA HEALTH CENTRE,20000
WARGADUD HEALTH CENTRE,10000
WAYSIDE MEDICAL CLINIC,10000
WEBUYE HEALTH CENTRE,20000
WEST SIDE HEALTHCARE MALABA,120000
WESTLANDS HOSPITAL,60000
WESU SUB-COUNTY HOSPITAL,60000
WITU HEALTH CENTRE,10000
WIYETA HEALTH CENTRE,10000
YABICHO HEALTH CENTRE,10000
YALA SUB-COUNTY HOSPITAL,10000
ZANIK MEDICAL CENTRE,20000
ZIWA SIRIKWA SUB-COUNTY HOSPITAL,60000
